video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28,sample,90.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",23.92560000002384
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_1500k_av1,sample,64.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14959999999403983
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5000k_av1,sample,77.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006900000005959583
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_500k_av1,sample,77.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0011000000238414742
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_10000k_h264_nvenc,sample,72.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.002699999988079682
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2300k_h264_nvenc,sample,65.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.014300000011921554
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5300k_h264_nvenc,sample,56.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0045000000000001705
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2000k_hevc_nvenc,sample,69.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.004200000017881678
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_6000k_hevc_nvenc,sample,22.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.012899999976157872
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_800k_hevc_nvenc,sample,4.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01520000001788091
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06,sample,29.0,59.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",44.407967000023845
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_1500k_av1,sample,44.0,52.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-1.111332999988079
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5000k_av1,sample,95.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.024533000005959593
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_500k_av1,sample,97.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-4.787032999976158
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_10000k_h264_nvenc,sample,53.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.002867000000000175
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2300k_h264_nvenc,sample,37.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.00023299999404002847
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5300k_h264_nvenc,sample,53.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.00013299999999993872
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2000k_hevc_nvenc,sample,99.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.022333000017880522
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_6000k_hevc_nvenc,sample,13.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.008732999994039758
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_800k_hevc_nvenc,sample,52.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.008433000011921266
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58,sample,62.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0008569999999998856
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1300k_av1,sample,94.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03964299999999987
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3000k_av1,sample,66.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0008569999999998856
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_500k_av1,sample,11.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.007042999976157205
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1000k_h264_nvenc,sample,13.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006742999994038712
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_2500k_h264_nvenc,sample,69.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.013842999988078475
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_5000k_h264_nvenc,sample,39.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.020942999982118238
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1500k_hevc_nvenc,sample,38.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.00665700001192171
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3500k_hevc_nvenc,sample,53.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0343430000178806
