video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter,sample,75.0,77.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",14.31640000000596
amt_gaming_vqa_dataset/JakandDaxter_1080p_1500k_av1,sample,28.0,55.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.4346999999880783
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,6.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5376999999880798
amt_gaming_vqa_dataset/JakandDaxter_1080p_500k_av1,sample,71.0,69.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.21440000000596093
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_av1,sample,2.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",6.2008999999761585
amt_gaming_vqa_dataset/JakandDaxter_2160p_1000k_av1,sample,68.0,62.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",3.3346999999880786
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_av1,sample,92.0,69.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",8.004899999976157
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_av1,sample,72.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2765000000000004
amt_gaming_vqa_dataset/JakandDaxter_720p_1300k_av1,sample,25.0,71.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07840000000595992
amt_gaming_vqa_dataset/JakandDaxter_720p_3000k_av1,sample,14.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1769000000059613
amt_gaming_vqa_dataset/JakandDaxter_720p_500k_av1,sample,9.0,67.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.21470000001788137
amt_gaming_vqa_dataset/JakandDaxter_1080p_10000k_h264nvenc,sample,25.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13049999999999962
amt_gaming_vqa_dataset/JakandDaxter_1080p_2300k_h264nvenc,sample,0.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10109999999403918
amt_gaming_vqa_dataset/JakandDaxter_1080p_5300k_h264nvenc,sample,38.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.23510000002384146
amt_gaming_vqa_dataset/JakandDaxter_2160p_25000k_h264nvenc,sample,52.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.3725000000000005
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_h264nvenc,sample,56.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.3304000000059606
amt_gaming_vqa_dataset/JakandDaxter_2160p_8500k_h264nvenc,sample,54.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.23270000001788205
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_h264nvenc,sample,22.0,67.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.1582000000178816
amt_gaming_vqa_dataset/JakandDaxter_720p_1000k_h264nvenc,sample,37.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.22010000002384267
