video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,66.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,30.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.18449000000000026
amt_gaming_vqa_dataset/Daysgone_1_720p_600k_hevcnvenc,sample,91.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Daysgone_1_720p_600k_hevcnvenc,sample,97.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07179000000074609
amt_gaming_vqa_dataset/DeceiveInc_720p_500k_av1,sample,68.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07449000000000083
amt_gaming_vqa_dataset/DeceiveInc_720p_500k_av1,sample,78.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09729000000074528
amt_gaming_vqa_dataset/DeceiveInc_1080p_800k_hevcnvenc,sample,34.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/DeceiveInc_1080p_800k_hevcnvenc,sample,92.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07269000000298043
amt_gaming_vqa_dataset/DeceiveInc_2160p_6000k_hevcnvenc,sample,58.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07269000000298043
amt_gaming_vqa_dataset/DeceiveInc_2160p_6000k_hevcnvenc,sample,51.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/DeceiveInc_720p_1500k_hevcnvenc,sample,37.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06979000000074542
amt_gaming_vqa_dataset/DeceiveInc_720p_1500k_hevcnvenc,sample,84.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07229000000074493
