video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05,sample,96.0,79.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",11.055499999999999
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_1500k_av1,sample,40.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03950000000000031
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_5000k_av1,sample,22.0,83.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.03550000000000075
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_500k_av1,sample,32.0,86.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12190000009536739
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_10000k_h264_nvenc,sample,22.0,64.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.03829999971389775
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_2300k_h264_nvenc,sample,82.0,70.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.010999999999999233
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_5300k_h264_nvenc,sample,65.0,59.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.02659999990463291
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_2000k_hevc_nvenc,sample,55.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0259999999999998
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_6000k_hevc_nvenc,sample,93.0,88.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.014499999999999957
amt_gaming_vqa_dataset/BntIMsTMvrI_WarRobots_0-05_1080p_800k_hevc_nvenc,sample,56.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.027499999999999858
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37,sample,29.0,22.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",28.98140000009537
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_1500k_av1,sample,83.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03449999999999953
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_5000k_av1,sample,98.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.029799999713898018
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_500k_av1,sample,84.0,78.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.043900000095367986
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_10000k_h264_nvenc,sample,34.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0075999999046327815
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_2300k_h264_nvenc,sample,42.0,71.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0339000000953682
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_5300k_h264_nvenc,sample,79.0,70.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.027199999809266018
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_2000k_hevc_nvenc,sample,99.0,46.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.039199999809264696
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_6000k_hevc_nvenc,sample,58.0,40.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.001099999904631943
amt_gaming_vqa_dataset/WazvxcDjQsA_PUBGMobile_14-37_1080p_800k_hevc_nvenc,sample,25.0,60.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.03700000000000081
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40,sample,89.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.032699999809265634
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_1300k_av1,sample,73.0,80.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.04009999990463342
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_3000k_av1,sample,18.0,78.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.013900000095366849
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_500k_av1,sample,21.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.03550000000000075
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_1000k_h264_nvenc,sample,17.0,45.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.006000000000000227
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_2500k_h264_nvenc,sample,1.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0129999999999999
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_5000k_h264_nvenc,sample,9.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.014699999809264952
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_1500k_hevc_nvenc,sample,7.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03149999999999942
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_3500k_hevc_nvenc,sample,30.0,44.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01950000000000074
amt_gaming_vqa_dataset/9xYPRt1UsMc_Valheim_25-40_720p_600k_hevc_nvenc,sample,5.0,67.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03480000019073515
amt_gaming_vqa_dataset/R9-eTPp_vx8_WorldofWarcraft_1-49-52,sample,80.0,47.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.02519999980926535
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01,sample,49.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.040200000286102267
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01_480p_1000k_av1,sample,51.0,42.0,"['Minimally Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.02620000028610292
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01_480p_1000k_h264_nvenc,sample,58.0,66.0,"['Minimally Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.01809999990463318
amt_gaming_vqa_dataset/kbmes48Y8DY_Rust_0-01_480p_800k_hevc_nvenc,sample,76.0,15.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.03690000009536831
amt_gaming_vqa_dataset/sfRXREOaNBE_WorldofTanks_1-11,sample,46.0,62.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.03559999990463325
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18,sample,57.0,65.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.04009999990463342
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1300k_av1,sample,64.0,76.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.00959999990463345
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3000k_av1,sample,74.0,79.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0381000003814691
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_500k_av1,sample,87.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.011599999904632341
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,sample,20.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.03879999971389836
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_2500k_h264_nvenc,sample,3.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0285999999046318
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_5000k_h264_nvenc,sample,8.0,54.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.040599999904632256
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1500k_hevc_nvenc,sample,97.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03819999980926525
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3500k_hevc_nvenc,sample,63.0,77.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.039799999713897805
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_600k_hevc_nvenc,sample,48.0,78.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.007100000381470295
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11,sample,39.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04570000028610188
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_1300k_av1,sample,60.0,62.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.00959999990463345
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_3000k_av1,sample,15.0,62.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.03169999980926441
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_500k_av1,sample,72.0,48.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.03279999971389813
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_1000k_h264_nvenc,sample,35.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.00489999961853016
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_2500k_h264_nvenc,sample,30.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.026799999713897904
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_5000k_h264_nvenc,sample,75.0,57.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.0389999999999997
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_1500k_hevc_nvenc,sample,54.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-2.2954999999999997
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_3500k_hevc_nvenc,sample,41.0,56.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.02659999990463291
amt_gaming_vqa_dataset/9SC_rTNEqJE_AngryBirds2_9-11_720p_600k_hevc_nvenc,sample,46.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.04299999999999926
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05,sample,73.0,80.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.036099999904632085
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_1300k_av1,sample,78.0,67.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.03980000019073415
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_3000k_av1,sample,49.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0338000001907357
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_500k_av1,sample,59.0,51.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.03419999980926569
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_1000k_h264_nvenc,sample,85.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.007800000190734124
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_2500k_h264_nvenc,sample,24.0,60.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.018000000000000682
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_5000k_h264_nvenc,sample,58.0,69.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.024400000095367247
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_1500k_hevc_nvenc,sample,91.0,76.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.030299999713896852
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_3500k_hevc_nvenc,sample,57.0,41.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.0260999999046323
amt_gaming_vqa_dataset/J7NB8OG-b6Q_Palworld_0-05_720p_600k_hevc_nvenc,sample,28.0,60.0,"['Minimally Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.03059999990463247
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_1-06-30_360p_800k_av1,sample,84.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.004400000095367673
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_1-06-30_360p_800k_h264_nvenc,sample,70.0,25.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.0075999999046327815
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_1-06-30_360p_600k_hevc_nvenc,sample,17.0,76.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.03279999971389813
amt_gaming_vqa_dataset/aYWM3nhWeSE_SubwaySurfers_8-00,sample,54.0,10.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.008800000190735346
amt_gaming_vqa_dataset/WRh1kX5QwkU_DiabloIII_1-52,sample,34.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.011699999809264838
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00,sample,70.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",47.938699999809266
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_1500k_av1,sample,43.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.04299999999999926
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_5000k_av1,sample,3.0,73.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.046700000286103105
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_500k_av1,sample,63.0,77.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.043900000095367986
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_10000k_h264_nvenc,sample,41.0,45.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.008099999904633393
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_2300k_h264_nvenc,sample,44.0,57.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0365000000000002
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_5300k_h264_nvenc,sample,39.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.002300000190734508
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_2000k_hevc_nvenc,sample,6.0,60.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.029500000000000526
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_6000k_hevc_nvenc,sample,33.0,58.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00730000019073529
amt_gaming_vqa_dataset/BVL2lHeHflA_EuroTruckSimulator2_24-00_1080p_800k_hevc_nvenc,sample,91.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.004099999904632057
amt_gaming_vqa_dataset/src4ZsbyOF8_CitiesSkylines_11-24,sample,97.0,77.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-0.004599999904632668
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_9-00,sample,2.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.003400000095366451
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_9-00_480p_1000k_av1,sample,91.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0470000000000006
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_9-00_480p_1000k_h264_nvenc,sample,97.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.009299999713897833
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_9-00_480p_800k_hevc_nvenc,sample,13.0,59.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",-0.010299999713897279
