video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_6000k_hevcnvenc,sample,19.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_6000k_hevcnvenc,sample,98.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09518999999925626
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_av1,sample,90.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.838290000000745
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_av1,sample,3.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.6901900000011185
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_h264nvenc,sample,29.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14089000000037366
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_h264nvenc,sample,62.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12869000000111797
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_8500k_h264nvenc,sample,95.0,87.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05058999999962843
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_8500k_h264nvenc,sample,71.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.41178999999888255
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_2_1080p_5300k_h264nvenc,sample,61.0,31.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.06060000000148946
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_2_1080p_5300k_h264nvenc,sample,72.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1149000000003717
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_2_720p_1500k_hevcnvenc,sample,13.0,51.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06199999999999939
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_2_720p_1500k_hevcnvenc,sample,36.0,44.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09109999999962781
