video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter,sample,78.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05419999999925551
amt_gaming_vqa_dataset/JakandDaxter_1080p_1500k_av1,sample,16.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09169999999925516
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,42.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10340000000223526
amt_gaming_vqa_dataset/JakandDaxter_1080p_500k_av1,sample,58.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0923000000007459
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_av1,sample,92.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.8796999999992554
amt_gaming_vqa_dataset/JakandDaxter_2160p_1000k_av1,sample,74.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-4.554599999997765
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_av1,sample,75.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4269999999999996
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_av1,sample,69.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08330000000074556
amt_gaming_vqa_dataset/JakandDaxter_720p_1300k_av1,sample,41.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0884999999999998
amt_gaming_vqa_dataset/JakandDaxter_720p_3000k_av1,sample,3.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09639999999851057
amt_gaming_vqa_dataset/JakandDaxter_720p_500k_av1,sample,16.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07910000000149076
