video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/GrandtheftautoV_1,sample,80.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11340000000223505
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_1500k_av1,sample,91.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06688999999851042
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_5000k_av1,sample,39.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08268999999925519
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_500k_av1,sample,44.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07358999999776472
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_10000k_av1,sample,32.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15209000000149153
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_1000k_av1,sample,46.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12479000000074514
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_5000k_av1,sample,95.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13328999999701985
amt_gaming_vqa_dataset/GrandtheftautoV_1_480p_1000k_av1,sample,29.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06249000000000038
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_1300k_av1,sample,76.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05628999999701989
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_3000k_av1,sample,95.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0746900000029811
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_500k_av1,sample,53.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06888999999851109
