video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Assettocorsecompetizione_2,sample,6.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09070000000018652
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_1080p_1500k_av1,sample,54.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0797900000002798
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_1080p_5000k_av1,sample,42.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08738999999990682
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_1080p_500k_av1,sample,74.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07778999999981373
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_2160p_10000k_av1,sample,99.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13578999999981356
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_2160p_1000k_av1,sample,72.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.15039000000037284
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_2160p_5000k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_480p_1000k_av1,sample,24.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06449000000000105
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_1300k_av1,sample,92.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07228999999981411
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_3000k_av1,sample,20.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07659000000009364
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_500k_av1,sample,37.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07019000000018671
