video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,87.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11109000002384306
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,96.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4940900000238422
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,55.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08268999998808013
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,34.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12008999996423775
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_1000k_h264nvenc,sample,42.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07798999999999978
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_1000k_h264nvenc,sample,73.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10379000001192118
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_2500k_h264nvenc,sample,27.0,73.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08689000003576375
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_2500k_h264nvenc,sample,51.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1083899999761595
amt_gaming_vqa_dataset/Farcry6_2_2160p_1000k_av1,sample,17.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",5.45438999997616
amt_gaming_vqa_dataset/Farcry6_2_2160p_1000k_av1,sample,82.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",8.091290000011922
amt_gaming_vqa_dataset/Farcry6_2_1080p_2000k_hevcnvenc,sample,5.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07999000000000045
amt_gaming_vqa_dataset/Farcry6_2_1080p_2000k_hevcnvenc,sample,16.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.18539000003576334
