video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Farcry6_1,sample,51.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",11.673699999988079
amt_gaming_vqa_dataset/Farcry6_1,sample,17.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-3.44990000000596
amt_gaming_vqa_dataset/Farcry6_1_2160p_5000k_av1,sample,41.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10549000000000142
amt_gaming_vqa_dataset/Farcry6_1_2160p_5000k_av1,sample,7.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-2.0296099999940393
amt_gaming_vqa_dataset/Faastpenguin_1_720p_500k_av1,sample,51.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.49881000001192
amt_gaming_vqa_dataset/Faastpenguin_1_720p_500k_av1,sample,58.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.702509999999999
amt_gaming_vqa_dataset/DemonsSouls_720p_500k_av1,sample,11.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.874509999999999
amt_gaming_vqa_dataset/DemonsSouls_720p_500k_av1,sample,97.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.229109999994039
amt_gaming_vqa_dataset/DemonsSouls_720p_2500k_h264nvenc,sample,30.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.793009999999999
amt_gaming_vqa_dataset/DemonsSouls_720p_2500k_h264nvenc,sample,44.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.605809999982117
amt_gaming_vqa_dataset/DemonsSouls_1080p_6000k_hevcnvenc,sample,54.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.182309999982118
amt_gaming_vqa_dataset/DemonsSouls_1080p_6000k_hevcnvenc,sample,44.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.62281000001192
