video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19,sample,7.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.013999999999999346
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_1300k_av1,sample,57.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.014499999999999957
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_3000k_av1,sample,88.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0005000000000006111
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_500k_av1,sample,65.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0011999999992546861
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_1000k_h264_nvenc,sample,70.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.042300000000745186
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_2500k_h264_nvenc,sample,36.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04369999999925511
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_5000k_h264_nvenc,sample,77.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03569999999925422
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_1500k_hevc_nvenc,sample,57.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03839999999851074
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_3500k_hevc_nvenc,sample,83.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0301999999992546
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_600k_hevc_nvenc,sample,10.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.033299999997019825
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_40-30_480p_1000k_av1,sample,8.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006000000000000227
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_40-30_480p_1000k_h264_nvenc,sample,59.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04910000000148962
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_40-30_480p_800k_hevc_nvenc,sample,18.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.015600000001489533
amt_gaming_vqa_dataset/w9YXHg_3VXg_Terraria_2-07,sample,16.0,31.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.014357000000000397
