video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/terraria_2160p_10000k_av1,sample,15.0,72.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.12189000003576389
amt_gaming_vqa_dataset/terraria_2160p_10000k_av1,sample,23.0,60.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-1.5688100000119203
amt_gaming_vqa_dataset/terraria_1080p_2000k_hevcnvenc,sample,16.0,72.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09299000000000035
amt_gaming_vqa_dataset/terraria_1080p_2000k_hevcnvenc,sample,42.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10558999996423779
amt_gaming_vqa_dataset/terraria_2160p_10000k_hevcnvenc,sample,8.0,62.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",20.09968999998808
amt_gaming_vqa_dataset/terraria_2160p_10000k_hevcnvenc,sample,52.0,73.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.11049000000000042
amt_gaming_vqa_dataset/Destiny2_1_1080p_1500k_av1,sample,72.0,74.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10438999997615817
amt_gaming_vqa_dataset/Destiny2_1_1080p_1500k_av1,sample,76.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.20819000004768462
amt_gaming_vqa_dataset/Destiny2_1_1080p_6000k_hevcnvenc,sample,68.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12668999998807884
amt_gaming_vqa_dataset/Destiny2_1_1080p_6000k_hevcnvenc,sample,46.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10908999996423852
amt_gaming_vqa_dataset/Destiny2_1_2160p_6000k_hevcnvenc,sample,9.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13738999997615942
amt_gaming_vqa_dataset/Destiny2_1_2160p_6000k_hevcnvenc,sample,0.0,71.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.12089000003576267
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,62.0,71.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.21319999998807937
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,40.0,67.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.20480000001192167
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,66.0,70.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.2240000000000002
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,80.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.22559999996423663
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,7.0,70.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.23410000002384201
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,73.0,76.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.21690000003576237
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,9.0,76.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.1338999999761583
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,61.0,63.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.23760000002384274
