video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_8-12,sample,38.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.00830000000074449
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_8-12_480p_1000k_av1,sample,97.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.013999999999999346
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_8-12_480p_1000k_h264_nvenc,sample,22.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.014199999999254587
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_8-12_480p_800k_hevc_nvenc,sample,98.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0125999999977644
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_6-27,sample,62.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.010100000001489917
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_6-27_480p_1000k_av1,sample,12.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.014699999999255198
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_6-27_480p_1000k_h264_nvenc,sample,40.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.01289999999850977
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_6-27_480p_800k_hevc_nvenc,sample,56.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.8366999999992544
amt_gaming_vqa_dataset/urp4-MUYmSw_IceAgeVillage_4-51,sample,26.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.025301999997763502
amt_gaming_vqa_dataset/y_6Cpi_nAfJV4_TheSims3_27-33_480p_1000k_av1,sample,50.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00913300000000028
amt_gaming_vqa_dataset/y_6Cpi_nAfJV4_TheSims3_27-33_480p_1000k_h264_nvenc,sample,80.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.02243300000074555
amt_gaming_vqa_dataset/y_6Cpi_nAfJV4_TheSims3_27-33_480p_800k_hevc_nvenc,sample,64.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.007467000001490476
amt_gaming_vqa_dataset/_D6-LFea-Tc_PUBGMobile_16-23,sample,49.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.3688000000007445
