video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/skyrim_2,sample,8.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",3.0044009999999055
amt_gaming_vqa_dataset/skyrim_2_1080p_10000k_h264nvenc,sample,77.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.022009999999999863
amt_gaming_vqa_dataset/skyrim_2_1080p_2300k_h264nvenc,sample,25.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.024309999999813314
amt_gaming_vqa_dataset/skyrim_2_1080p_5300k_h264nvenc,sample,12.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.020309999999813755
amt_gaming_vqa_dataset/skyrim_2_2160p_25000k_h264nvenc,sample,23.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.021310000000278606
amt_gaming_vqa_dataset/skyrim_2_2160p_5000k_h264nvenc,sample,95.0,59.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0029099999999058213
amt_gaming_vqa_dataset/skyrim_2_2160p_8500k_h264nvenc,sample,42.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01761000000009183
amt_gaming_vqa_dataset/skyrim_2_480p_1000k_h264nvenc,sample,78.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.002109999999859724
amt_gaming_vqa_dataset/skyrim_2_720p_1000k_h264nvenc,sample,36.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.024409999999905452
amt_gaming_vqa_dataset/skyrim_2_720p_2500k_h264nvenc,sample,87.0,72.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.33168999999995386
amt_gaming_vqa_dataset/skyrim_2_720p_5000k_h264nvenc,sample,54.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.019409999999906447
amt_gaming_vqa_dataset/skyrim_2_1080p_2000k_hevcnvenc,sample,29.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0047099999999531406
amt_gaming_vqa_dataset/skyrim_2_1080p_6000k_hevcnvenc,sample,1.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.015710000000185076
amt_gaming_vqa_dataset/skyrim_2_1080p_800k_hevcnvenc,sample,61.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.019309999999812533
amt_gaming_vqa_dataset/skyrim_2_2160p_10000k_hevcnvenc,sample,32.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.01749000000000045
amt_gaming_vqa_dataset/skyrim_2_2160p_1500k_hevcnvenc,sample,16.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.044089999999860296
amt_gaming_vqa_dataset/skyrim_2_2160p_6000k_hevcnvenc,sample,94.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.023610000000092057
amt_gaming_vqa_dataset/skyrim_2_480p_800k_hevcnvenc,sample,13.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.022910000000372577
amt_gaming_vqa_dataset/skyrim_2_720p_1500k_hevcnvenc,sample,46.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.016610000000092384
amt_gaming_vqa_dataset/skyrim_2_720p_3500k_hevcnvenc,sample,63.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.026309999999813982
amt_gaming_vqa_dataset/skyrim_2_720p_600k_hevcnvenc,sample,12.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.003810000000278535
amt_gaming_vqa_dataset/skyrim_2_1080p_1500k_av1,sample,64.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.008810000000046614
amt_gaming_vqa_dataset/skyrim_2_1080p_5000k_av1,sample,77.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.016910000000139647
amt_gaming_vqa_dataset/skyrim_2_1080p_500k_av1,sample,38.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.019209999999720395
amt_gaming_vqa_dataset/skyrim_2_2160p_10000k_av1,sample,44.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.3712899999998136
amt_gaming_vqa_dataset/skyrim_2_2160p_1000k_av1,sample,55.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.028190000000187
amt_gaming_vqa_dataset/skyrim_2_2160p_5000k_av1,sample,75.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.992590000000094
amt_gaming_vqa_dataset/skyrim_2_480p_1000k_av1,sample,22.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.021310000000278606
amt_gaming_vqa_dataset/skyrim_2_720p_1300k_av1,sample,48.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.009009999999999962
amt_gaming_vqa_dataset/skyrim_2_720p_3000k_av1,sample,81.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.020009999999999195
amt_gaming_vqa_dataset/skyrim_2_720p_500k_av1,sample,82.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.005509999999999238
amt_gaming_vqa_dataset/Kenabridgeofspirits_2,sample,22.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0235000000000003
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_1500k_av1,sample,19.0,58.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05088999999990662
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_5000k_av1,sample,25.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.051289999999815095
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_500k_av1,sample,22.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0809899999999999
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_10000k_av1,sample,93.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.7639899999999997
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_1000k_av1,sample,8.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.4263899999999072
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_5000k_av1,sample,46.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.1053899999999075
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_480p_1000k_av1,sample,98.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06399000000000044
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_1300k_av1,sample,85.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05168999999972179
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_3000k_av1,sample,30.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050690000000185975
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_500k_av1,sample,3.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.049089999999628375
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_10000k_h264nvenc,sample,10.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0512900000002805
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_2300k_h264nvenc,sample,1.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04128999999981353
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_5300k_h264nvenc,sample,77.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05059000000009384
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_25000k_h264nvenc,sample,19.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10738999999990817
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_5000k_h264nvenc,sample,9.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.052090000000093895
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_8500k_h264nvenc,sample,55.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1296899999997212
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_480p_1000k_h264nvenc,sample,93.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_1000k_h264nvenc,sample,83.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_2500k_h264nvenc,sample,95.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04838999999990712
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_5000k_h264nvenc,sample,50.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07819000000018761
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_2000k_hevcnvenc,sample,0.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_6000k_hevcnvenc,sample,45.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05009000000009323
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_800k_hevcnvenc,sample,68.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0512900000002805
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_10000k_hevcnvenc,sample,80.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.051490000000001146
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_1500k_hevcnvenc,sample,48.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05088999999990662
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_2160p_6000k_hevcnvenc,sample,50.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05249000000000059
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_480p_800k_hevcnvenc,sample,0.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050389999999907786
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_1500k_hevcnvenc,sample,5.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049190000000187695
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_3500k_hevcnvenc,sample,27.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04868999999972168
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_720p_600k_hevcnvenc,sample,30.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Amerfightingopenbeta,sample,33.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.036999999999999034
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_1500k_av1,sample,34.0,87.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5000k_av1,sample,45.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05088999999990662
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_500k_av1,sample,14.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08428999999981457
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_10000k_av1,sample,4.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.7624900000000014
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_1000k_av1,sample,70.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.0672900000000478
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_5000k_av1,sample,67.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.025190000000187
amt_gaming_vqa_dataset/Amerfightingopenbeta_480p_1000k_av1,sample,62.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06518999999972053
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_1300k_av1,sample,4.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07379000000027958
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_3000k_av1,sample,79.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07889000000013979
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_500k_av1,sample,33.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06859000000009452
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_10000k_h264nvenc,sample,91.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05059000000009384
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_2300k_h264nvenc,sample,8.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05088999999990662
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5300k_h264nvenc,sample,39.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050690000000185975
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_25000k_h264nvenc,sample,6.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05178999999981393
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_5000k_h264nvenc,sample,34.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05059000000009384
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_8500k_h264nvenc,sample,60.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04978999999981504
amt_gaming_vqa_dataset/Amerfightingopenbeta_480p_1000k_h264nvenc,sample,18.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05059000000009384
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_1000k_h264nvenc,sample,66.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05059000000009384
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_2500k_h264nvenc,sample,10.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_5000k_h264nvenc,sample,12.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04938999999990834
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_2000k_hevcnvenc,sample,96.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050789999999814484
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_6000k_hevcnvenc,sample,78.0,86.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051190000000186586
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_800k_hevcnvenc,sample,89.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07969000000018767
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_10000k_hevcnvenc,sample,85.0,35.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.051190000000186586
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_1500k_hevcnvenc,sample,27.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_6000k_hevcnvenc,sample,31.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04868999999972168
amt_gaming_vqa_dataset/Amerfightingopenbeta_480p_800k_hevcnvenc,sample,39.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04959000000009439
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_1500k_hevcnvenc,sample,60.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05009000000009323
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_3500k_hevcnvenc,sample,9.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05088999999990662
amt_gaming_vqa_dataset/Amerfightingopenbeta_720p_600k_hevcnvenc,sample,18.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04969000000018653
