video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5_1080p_1500k_av1,sample,84.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049290000011922075
amt_gaming_vqa_dataset/callofdutyps5_1080p_1500k_av1,sample,43.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0995899999940395
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,81.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08299000000000056
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,20.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0286899999880799
amt_gaming_vqa_dataset/callofdutyps5_720p_3500k_hevcnvenc,sample,7.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06978999998211854
amt_gaming_vqa_dataset/callofdutyps5_720p_3500k_hevcnvenc,sample,25.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.9031899999880793
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5000k_av1,sample,7.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07628999998211938
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5000k_av1,sample,85.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07608999999404098
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_1500k_av1,sample,92.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051089999994040625
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_1500k_av1,sample,92.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07768999998807935
