AssignmentId,HITId,WorkerId,Sample_Row_Name,Sample_Row_Index,Approve,Reject
3I02618YBRXGOOABGMHVPE185CQPUI,3DWNFENNFTMJYVF4G1GSRUL7VZLJ4G,AM8EV600ZP69X,row_0,0,,Too many unset video ratings (30 > 24) | The scores for golden videos are not consistent with the true scores.
30BXRYBRQVO13B1SS9ORYTKE4ZXHW6,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A1AXP3SCV8SPM,row_0,0,,Too many unset video ratings (30 > 24)
33CKWXB74ABXYZ0BTWWLDGEDRXV11V,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A2S834OHCORO1W,row_0,0,,Too many unset video ratings (30 > 24)
35GCEFQ6JWFQ3YZYOBJWT3DM2UHZ31,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A2P8V9PAWGNXVM,row_0,0,,Too many unset video ratings (30 > 24)
3CCZ6YKWSYAEBM4PYWDQVC9D1OG59G,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A2N6SUG2FS534I,row_0,0,,Too many unset video ratings (30 > 24)
3LS2AMNW66H6BVRTKDKBQDZTSKGQOL,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A3V3F4X6GH6VPV,row_0,0,,Too many unset video ratings (30 > 24)
3QXNC7EIQ9MFGFIO1Q7EEHDMKF9901,3MGHRFQY3BGSUWS2J0UTPEAIRQH0YC,A3KGCURZJ02L3,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=51"
340UGXU9EPSTT8772YQUV6QQRS8VUA,3IQ9O0AYXWQ7K5AODKW0N1IZYIRITB,A10FCQ7R6OGXF8,row_0,0,,"Too many unset video ratings (30 > 24) | all slider ratings are very similar, the slider moved to same range of scores."
3AQF3RZ56Z9JV0VG61NNXE9O0CU6FN,3IQ9O0AYXWQ7K5AODKW0N1IZYIRITB,A1JFGI5XJYYR3A,row_0,0,,Too many unset video ratings (30 > 24) | The scores for golden videos are not consistent with the true scores.
3LEP4MGT47RS3SYFBM95KUSV20TBD6,3IQ9O0AYXWQ7K5AODKW0N1IZYIRITB,ABNTQ9OXGOJP0,row_0,0,,Too many unset video ratings (30 > 24)
3NGI5ARFUKW0FRJDEY7BECWBU8V1PJ,3IQ9O0AYXWQ7K5AODKW0N1IZYIRITB,A3EQPQ7EZFKB0R,row_0,0,,Too many unset video ratings (30 > 24) | The scores for golden videos are not consistent with the true scores.
33TIN5LC1V1CDAE99YIN6976UOF9YJ,3N3WJQXEMIHFQ7OHF89HEU11FYKL2Q,A1Q7VWUBIJOK17,row_0,0,,"The scores for golden videos are not consistent with the true scores. | Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=59"
340UGXU9EPSTT8772YQUV6QQU7PUVN,3JTPR5MT0I3W5YPMCRZEX1RYAODK5Q,ABVPW8753ZBJO,row_0,0,,The scores for golden videos are not consistent with the true scores.
3RGU30DZU1Z1P524C7LP18Y2LIPMJF,3JTPR5MT0I3W5YPMCRZEX1RYAODK5Q,A2IK3H6MQ1QV6E,row_0,0,,Too many unset video ratings (30 > 24)
