video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace,sample,85.0,71.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",24.542400000095363
amt_gaming_vqa_dataset/Deadspace_1080p_1500k_av1,sample,90.0,69.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07139000009536822
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,25.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07859000038147101
amt_gaming_vqa_dataset/Deadspace_1080p_500k_av1,sample,45.0,71.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.07408999990463272
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_av1,sample,13.0,71.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.8615900003814705
amt_gaming_vqa_dataset/Deadspace_2160p_1000k_av1,sample,98.0,73.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.12598999999999982
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_av1,sample,7.0,76.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.15219000028610274
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,11.0,61.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.05979000019073588
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,2.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06658999990463244
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,18.0,71.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08278999971389744
amt_gaming_vqa_dataset/Deadspace_720p_500k_av1,sample,66.0,72.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.06299000000000099
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,7.0,68.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.11899000000000015
amt_gaming_vqa_dataset/Deadspace_1080p_2300k_h264nvenc,sample,78.0,68.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07028999971389815
amt_gaming_vqa_dataset/Deadspace_1080p_5300k_h264nvenc,sample,49.0,64.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07358999990463388
amt_gaming_vqa_dataset/Deadspace_2160p_25000k_h264nvenc,sample,41.0,70.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.21008999990463373
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_h264nvenc,sample,12.0,70.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.20148999999999972
amt_gaming_vqa_dataset/Deadspace_2160p_8500k_h264nvenc,sample,42.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.203990000000001
amt_gaming_vqa_dataset/Deadspace_480p_1000k_h264nvenc,sample,15.0,70.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.058890000095367157
amt_gaming_vqa_dataset/Deadspace_720p_1000k_h264nvenc,sample,43.0,66.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0661899998092661
amt_gaming_vqa_dataset/Deadspace_720p_2500k_h264nvenc,sample,86.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06249000000000038
amt_gaming_vqa_dataset/Deadspace_720p_5000k_h264nvenc,sample,43.0,71.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.06568999980926549
amt_gaming_vqa_dataset/Deadspace_1080p_2000k_hevcnvenc,sample,64.0,70.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Deadspace_1080p_6000k_hevcnvenc,sample,3.0,78.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.050390000095367427
amt_gaming_vqa_dataset/Deadspace_1080p_800k_hevcnvenc,sample,2.0,71.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.04988999961853047
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_hevcnvenc,sample,15.0,72.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.05108999990463303
amt_gaming_vqa_dataset/Deadspace_2160p_1500k_hevcnvenc,sample,83.0,79.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.05108999990463303
amt_gaming_vqa_dataset/Deadspace_2160p_6000k_hevcnvenc,sample,78.0,70.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04929000019073548
amt_gaming_vqa_dataset/Deadspace_480p_800k_hevcnvenc,sample,95.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.055490000000000705
amt_gaming_vqa_dataset/Deadspace_720p_1500k_hevcnvenc,sample,85.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.04898999999999987
amt_gaming_vqa_dataset/Deadspace_720p_3500k_hevcnvenc,sample,84.0,73.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.0495900003814711
