video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,74.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04300000000000104
amt_gaming_vqa_dataset/Godofwar_1_1080p_1500k_av1,sample,16.0,37.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08208999999403943
amt_gaming_vqa_dataset/Godofwar_1_1080p_5000k_av1,sample,91.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08438999997615859
amt_gaming_vqa_dataset/Godofwar_1_1080p_500k_av1,sample,22.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07499000000000144
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_av1,sample,48.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13629000001192182
amt_gaming_vqa_dataset/Godofwar_1_2160p_1000k_av1,sample,53.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1245900000238418
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,17.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1177900000119223
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_av1,sample,87.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06249000000000038
amt_gaming_vqa_dataset/Godofwar_1_720p_1300k_av1,sample,24.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.148709999988078
amt_gaming_vqa_dataset/Godofwar_1_720p_3000k_av1,sample,30.0,25.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0702900000119211
amt_gaming_vqa_dataset/Godofwar_1_720p_500k_av1,sample,94.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07129000001192232
amt_gaming_vqa_dataset/Godofwar_1_1080p_10000k_h264nvenc,sample,76.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07948999999999984
amt_gaming_vqa_dataset/Godofwar_1_1080p_2300k_h264nvenc,sample,49.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/Godofwar_1_1080p_5300k_h264nvenc,sample,35.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06318999998807939
amt_gaming_vqa_dataset/Godofwar_1_2160p_25000k_h264nvenc,sample,65.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0783900000059603
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_h264nvenc,sample,13.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12479000001192198
amt_gaming_vqa_dataset/Godofwar_1_2160p_8500k_h264nvenc,sample,33.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.061689999988079336
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_h264nvenc,sample,10.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0707900000119217
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,15.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0792899999821195
amt_gaming_vqa_dataset/Godofwar_1_720p_2500k_h264nvenc,sample,54.0,42.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.06489000000596157
amt_gaming_vqa_dataset/Godofwar_1_720p_5000k_h264nvenc,sample,89.0,60.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0712899999821186
amt_gaming_vqa_dataset/Godofwar_1_1080p_2000k_hevcnvenc,sample,78.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06718999998807895
amt_gaming_vqa_dataset/Godofwar_1_1080p_6000k_hevcnvenc,sample,76.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.049190000017881985
amt_gaming_vqa_dataset/Godofwar_1_1080p_800k_hevcnvenc,sample,20.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06808999999404008
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_hevcnvenc,sample,93.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1437900000119221
amt_gaming_vqa_dataset/Godofwar_1_2160p_1500k_hevcnvenc,sample,7.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07508999999403976
amt_gaming_vqa_dataset/Godofwar_1_2160p_6000k_hevcnvenc,sample,60.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06799
amt_gaming_vqa_dataset/Godofwar_1_480p_800k_hevcnvenc,sample,92.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06659000002384197
amt_gaming_vqa_dataset/Godofwar_1_720p_1500k_hevcnvenc,sample,50.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06819000001788211
amt_gaming_vqa_dataset/Godofwar_1_720p_3500k_hevcnvenc,sample,76.0,72.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.06729000001192098
amt_gaming_vqa_dataset/Godofwar_1_720p_600k_hevcnvenc,sample,14.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08208999999403943
amt_gaming_vqa_dataset/MLBtheshow,sample,53.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08399999999999963
amt_gaming_vqa_dataset/MLBtheshow_1080p_1500k_av1,sample,79.0,33.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08179000001192094
amt_gaming_vqa_dataset/MLBtheshow_1080p_5000k_av1,sample,42.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08318999998807897
amt_gaming_vqa_dataset/MLBtheshow_1080p_500k_av1,sample,29.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07828999998212005
amt_gaming_vqa_dataset/MLBtheshow_2160p_10000k_av1,sample,17.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15158999999404088
amt_gaming_vqa_dataset/MLBtheshow_2160p_1000k_av1,sample,47.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.11999000000000137
amt_gaming_vqa_dataset/MLBtheshow_2160p_5000k_av1,sample,32.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.13399000000000072
amt_gaming_vqa_dataset/MLBtheshow_480p_1000k_av1,sample,70.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0661899999880795
amt_gaming_vqa_dataset/MLBtheshow_720p_1300k_av1,sample,84.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07238999997615814
amt_gaming_vqa_dataset/MLBtheshow_720p_3000k_av1,sample,72.0,68.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.07858999999404048
amt_gaming_vqa_dataset/MLBtheshow_720p_500k_av1,sample,67.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06808999999404008
amt_gaming_vqa_dataset/MLBtheshow_1080p_10000k_h264nvenc,sample,18.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.05668999998808033
amt_gaming_vqa_dataset/MLBtheshow_1080p_2300k_h264nvenc,sample,93.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09318999998808053
amt_gaming_vqa_dataset/MLBtheshow_1080p_5300k_h264nvenc,sample,58.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07008999999404075
amt_gaming_vqa_dataset/MLBtheshow_2160p_25000k_h264nvenc,sample,18.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07238999997615814
amt_gaming_vqa_dataset/MLBtheshow_2160p_5000k_h264nvenc,sample,0.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08068999998807946
amt_gaming_vqa_dataset/MLBtheshow_2160p_8500k_h264nvenc,sample,59.0,27.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.09708999999404
