video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5_1080p_10000k_h264nvenc,sample,68.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05158999999403946
amt_gaming_vqa_dataset/callofdutyps5_1080p_10000k_h264nvenc,sample,37.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11278999999701966
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,51.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05079000001192213
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,1.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.2255899999940407
amt_gaming_vqa_dataset/callofdutyps5_720p_1500k_hevcnvenc,sample,16.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07918999998807941
amt_gaming_vqa_dataset/callofdutyps5_720p_1500k_hevcnvenc,sample,92.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09079000001192128
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_1500k_av1,sample,25.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0852899999970198
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_1500k_av1,sample,65.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08578999999702042
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3000k_av1,sample,84.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3000k_av1,sample,90.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07859000000894056
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_h264nvenc,sample,99.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07628999999702124
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_h264nvenc,sample,51.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.22941000000596
