video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/QXPT_kEoVT4_HalfLife2_9-35_1080p_800k_hevc_nvenc,sample,52.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0003999999761585826
amt_gaming_vqa_dataset/QXPT_kEoVT4_HalfLife2_9-35_1080p_800k_hevc_nvenc,sample,3.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04449999999999932
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_3000k_av1,sample,85.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01303299997615781
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_3000k_av1,sample,97.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0007670000357631324
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15,sample,88.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.008200000047683176
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15,sample,18.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.009400000035762801
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_800k_hevc_nvenc,sample,35.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.005499999999999616
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_800k_hevc_nvenc,sample,57.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006099999964236602
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_800k_hevc_nvenc,sample,15.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.005800000011920048
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_800k_hevc_nvenc,sample,90.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009899999976157758
amt_gaming_vqa_dataset/iQ44avzILLw_Minecraft_4-25,sample,86.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.014600000023841986
amt_gaming_vqa_dataset/iQ44avzILLw_Minecraft_4-25,sample,77.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.5441999999880789
