video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1,sample,19.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.5117999999998144
amt_gaming_vqa_dataset/Daysgone_1,sample,50.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.4072000000001861
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,23.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0805900000005586
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,48.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07829000000074515
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_10000k_hevcnvenc,sample,18.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_10000k_hevcnvenc,sample,12.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1379900000000003
amt_gaming_vqa_dataset/Genshinimpact_1_720p_1500k_hevcnvenc,sample,92.0,46.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.625809999999813
amt_gaming_vqa_dataset/Genshinimpact_1_720p_1500k_hevcnvenc,sample,13.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0772899999998149
amt_gaming_vqa_dataset/DeceiveInc_1080p_5000k_av1,sample,80.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0809899999999999
amt_gaming_vqa_dataset/DeceiveInc_1080p_5000k_av1,sample,74.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10028999999981458
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,1.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08819999999925443
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,39.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08479999999981302
