video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Undefeated,sample,14.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-1.7230000000000008
amt_gaming_vqa_dataset/Undefeated_1080p_1500k_av1,sample,39.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.153709999988078
amt_gaming_vqa_dataset/Undefeated_1080p_5000k_av1,sample,47.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-5.373610000023842
amt_gaming_vqa_dataset/Undefeated_1080p_500k_av1,sample,88.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.999409999976158
amt_gaming_vqa_dataset/Undefeated_2160p_10000k_av1,sample,47.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-1.4264099999761584
amt_gaming_vqa_dataset/Undefeated_2160p_1000k_av1,sample,22.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.653610000023841
amt_gaming_vqa_dataset/Undefeated_2160p_5000k_av1,sample,57.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-4.13631000001192
amt_gaming_vqa_dataset/Undefeated_480p_1000k_av1,sample,14.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.4658100000119205
amt_gaming_vqa_dataset/Undefeated_720p_1300k_av1,sample,31.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.24201
amt_gaming_vqa_dataset/Undefeated_720p_3000k_av1,sample,58.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.081890000035763
amt_gaming_vqa_dataset/Undefeated_720p_500k_av1,sample,3.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.316009999999999
amt_gaming_vqa_dataset/Undefeated_1080p_10000k_h264nvenc,sample,20.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.232909999976158
amt_gaming_vqa_dataset/Undefeated_1080p_2300k_h264nvenc,sample,2.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.678109999964237
