video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/skyrim_2_2160p_1500k_hevcnvenc,sample,5.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.014090000000559044
amt_gaming_vqa_dataset/skyrim_2_2160p_1500k_hevcnvenc,sample,81.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.014209999999254208
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_480p_800k_hevcnvenc,sample,32.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06498999999999988
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_480p_800k_hevcnvenc,sample,96.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07458999999962757
amt_gaming_vqa_dataset/Amerfightingopenbeta_480p_1000k_av1,sample,53.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.041990000000000194
amt_gaming_vqa_dataset/Amerfightingopenbeta_480p_1000k_av1,sample,61.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_5000k_h264nvenc,sample,38.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10369000000111761
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_5000k_h264nvenc,sample,9.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.168290000000745
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_8500k_h264nvenc,sample,91.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.16028999999981508
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_8500k_h264nvenc,sample,18.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10168999999925532
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_6000k_hevcnvenc,sample,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.070589999999628
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_6000k_hevcnvenc,sample,22.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0810899999996284
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,37.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11259999999962744
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,43.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08859999999962831
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,21.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0956000000014896
