video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5000k_av1,sample,84.0,78.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.11228999998211897
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5000k_av1,sample,13.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10848999999999975
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_5000k_h264nvenc,sample,12.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.08349000000000117
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_5000k_h264nvenc,sample,45.0,62.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.05519000001788221
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1500k_hevcnvenc,sample,68.0,43.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09289000000596026
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1500k_hevcnvenc,sample,42.0,36.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0815899999940406
amt_gaming_vqa_dataset/Returnal_1_720p_500k_av1,sample,84.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07518999998807985
amt_gaming_vqa_dataset/Returnal_1_720p_500k_av1,sample,35.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07639000000596141
amt_gaming_vqa_dataset/Returnal_1_2160p_6000k_hevcnvenc,sample,14.0,82.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.08628999998211917
amt_gaming_vqa_dataset/Returnal_1_2160p_6000k_hevcnvenc,sample,56.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09068999998807925
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_2160p_5000k_h264nvenc,sample,56.0,42.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08908999999404088
amt_gaming_vqa_dataset/HarryPotterQuidditchChampions_2160p_5000k_h264nvenc,sample,58.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.14088999997615836
