video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Sessionskatesim_2,sample,71.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11050000000000004
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_1500k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5000k_av1,sample,89.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09228999999888288
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_500k_av1,sample,86.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07758999999962768
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_av1,sample,2.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1565899999996283
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1000k_av1,sample,48.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.14258999999962718
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_av1,sample,20.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1506899999992548
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_av1,sample,33.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06799
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1300k_av1,sample,26.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07389000000037349
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3000k_av1,sample,86.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08799000000000134
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_500k_av1,sample,29.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06919000000111808
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_10000k_h264nvenc,sample,91.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10829000000074629
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2300k_h264nvenc,sample,40.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09308999999962886
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5300k_h264nvenc,sample,11.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.057390000000372865
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_25000k_h264nvenc,sample,61.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1279900000000005
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_h264nvenc,sample,74.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.19839000000037288
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_8500k_h264nvenc,sample,38.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09338999999851083
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_h264nvenc,sample,0.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09079000000074622
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1000k_h264nvenc,sample,96.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07458999999962757
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_2500k_h264nvenc,sample,74.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09208999999962764
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_5000k_h264nvenc,sample,12.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11089000000037252
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2000k_hevcnvenc,sample,90.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08008999999962718
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_6000k_hevcnvenc,sample,67.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10758999999962882
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_800k_hevcnvenc,sample,87.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07619000000111775
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_hevcnvenc,sample,44.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08299000000000056
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1500k_hevcnvenc,sample,62.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11428999999888312
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_6000k_hevcnvenc,sample,43.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06508999999962839
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_800k_hevcnvenc,sample,87.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0830899999996273
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1500k_hevcnvenc,sample,88.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1044900000000002
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3500k_hevcnvenc,sample,37.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14069000000111842
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_600k_hevcnvenc,sample,93.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06869000000111747
amt_gaming_vqa_dataset/Worldofwarships_2,sample,82.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10999999999999943
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_1500k_av1,sample,57.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0827899999988837
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_5000k_av1,sample,80.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08719000000111876
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_500k_av1,sample,87.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07539000000037355
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_10000k_av1,sample,41.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1519900000000014
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_1000k_av1,sample,44.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1296899999992558
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_av1,sample,75.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13409000000149085
amt_gaming_vqa_dataset/Worldofwarships_2_480p_1000k_av1,sample,44.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06399000000000044
amt_gaming_vqa_dataset/Worldofwarships_2_720p_1300k_av1,sample,32.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07158999999962745
amt_gaming_vqa_dataset/Worldofwarships_2_720p_3000k_av1,sample,7.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07829000000074515
amt_gaming_vqa_dataset/Worldofwarships_2_720p_500k_av1,sample,57.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06878999999888258
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_10000k_h264nvenc,sample,97.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10349000000000075
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_2300k_h264nvenc,sample,8.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11328999999888367
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_5300k_h264nvenc,sample,58.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10278999999888327
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_25000k_h264nvenc,sample,77.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13199000000000005
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_5000k_h264nvenc,sample,94.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1493900000003734
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_8500k_h264nvenc,sample,12.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09789000000037262
amt_gaming_vqa_dataset/Worldofwarships_2_480p_1000k_h264nvenc,sample,93.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09288999999851022
