video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Farcry6_1_1080p_5300k_h264nvenc,sample,87.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07319000000111764
amt_gaming_vqa_dataset/Farcry6_1_1080p_5300k_h264nvenc,sample,78.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08668999999925475
amt_gaming_vqa_dataset/Faastpenguin_1_720p_3000k_av1,sample,4.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07508999999776478
amt_gaming_vqa_dataset/Faastpenguin_1_720p_3000k_av1,sample,66.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06468999999925629
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_5000k_h264nvenc,sample,24.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1393900000003736
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_5000k_h264nvenc,sample,72.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1192899999970205
amt_gaming_vqa_dataset/Faastpenguin_1_480p_1000k_h264nvenc,sample,0.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11779000000074547
amt_gaming_vqa_dataset/Faastpenguin_1_480p_1000k_h264nvenc,sample,42.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.23599000000000103
amt_gaming_vqa_dataset/DemonsSouls_2160p_8500k_h264nvenc,sample,89.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2080899999996273
amt_gaming_vqa_dataset/DemonsSouls_2160p_8500k_h264nvenc,sample,33.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11439000000223665
amt_gaming_vqa_dataset/DemonsSouls_2160p_1500k_hevcnvenc,sample,50.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0550899999996286
amt_gaming_vqa_dataset/DemonsSouls_2160p_1500k_hevcnvenc,sample,83.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10138999999850995
