video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,20.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04958999999404057
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,51.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09119000000297994
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,31.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08438999999851049
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,28.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5093900000059612
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,89.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.6027900000044717
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,46.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14249000000000045
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,48.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07888999999851087
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,91.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06869000000298087
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,71.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07738999999851082
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,49.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06628999999701968
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,52.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2300k_h264nvenc,sample,52.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08199000000000112
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5300k_h264nvenc,sample,97.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08399000000000001
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,sample,5.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.18618999999553054
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_h264nvenc,sample,37.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10588999999851012
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_8500k_h264nvenc,sample,97.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13258999999404075
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_h264nvenc,sample,81.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04909000000149
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1000k_h264nvenc,sample,85.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06909000000149135
amt_gaming_vqa_dataset/Genshinimpact_2_720p_2500k_h264nvenc,sample,58.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-2.3874099999985097
amt_gaming_vqa_dataset/Genshinimpact_2_720p_5000k_h264nvenc,sample,69.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09018999999553046
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2000k_hevcnvenc,sample,93.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04919000000298013
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_6000k_hevcnvenc,sample,19.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08328999999702091
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_800k_hevcnvenc,sample,70.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07288999999851065
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1500k_hevcnvenc,sample,8.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11488999999851046
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_6000k_hevcnvenc,sample,18.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08529000000447162
amt_gaming_vqa_dataset/Genshinimpact_2_480p_800k_hevcnvenc,sample,32.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06979000000447044
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1500k_hevcnvenc,sample,37.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09269000000298
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3500k_hevcnvenc,sample,3.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07959000000148997
amt_gaming_vqa_dataset/Genshinimpact_2_720p_600k_hevcnvenc,sample,87.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08428999999702036
amt_gaming_vqa_dataset/Daysgone_2,sample,92.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07079999999701947
amt_gaming_vqa_dataset/Daysgone_2_1080p_1500k_av1,sample,77.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.058799999997019015
amt_gaming_vqa_dataset/Daysgone_2_1080p_5000k_av1,sample,61.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08589999999851017
amt_gaming_vqa_dataset/Daysgone_2_1080p_500k_av1,sample,48.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10310000000148989
amt_gaming_vqa_dataset/Daysgone_2_2160p_10000k_av1,sample,28.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.07690000000596
amt_gaming_vqa_dataset/Daysgone_2_2160p_1000k_av1,sample,16.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13780000000446968
amt_gaming_vqa_dataset/Daysgone_2_2160p_5000k_av1,sample,69.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15010000000149049
amt_gaming_vqa_dataset/Daysgone_2_480p_1000k_av1,sample,65.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07260000000148992
amt_gaming_vqa_dataset/Daysgone_2_720p_1300k_av1,sample,34.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07470000000298072
amt_gaming_vqa_dataset/Daysgone_2_720p_3000k_av1,sample,91.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07719999999553018
amt_gaming_vqa_dataset/Daysgone_2_720p_500k_av1,sample,84.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07460000000149059
amt_gaming_vqa_dataset/Daysgone_2_1080p_10000k_h264nvenc,sample,82.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.059399999998509756
amt_gaming_vqa_dataset/Daysgone_2_1080p_2300k_h264nvenc,sample,25.0,76.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08409999999403972
amt_gaming_vqa_dataset/Daysgone_2_1080p_5300k_h264nvenc,sample,74.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09579999999701982
amt_gaming_vqa_dataset/Daysgone_2_2160p_25000k_h264nvenc,sample,42.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11299999999999955
amt_gaming_vqa_dataset/Daysgone_2_2160p_5000k_h264nvenc,sample,16.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11909999999403986
amt_gaming_vqa_dataset/Daysgone_2_2160p_8500k_h264nvenc,sample,56.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.059299999997019626
amt_gaming_vqa_dataset/Daysgone_2_480p_1000k_h264nvenc,sample,28.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08959999999403934
amt_gaming_vqa_dataset/Daysgone_2_720p_1000k_h264nvenc,sample,91.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11749999999999972
amt_gaming_vqa_dataset/Daysgone_2_720p_2500k_h264nvenc,sample,26.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09029999999702021
amt_gaming_vqa_dataset/Daysgone_2_720p_5000k_h264nvenc,sample,89.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09430000000446981
amt_gaming_vqa_dataset/Daysgone_2_1080p_2000k_hevcnvenc,sample,89.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08079999999701926
