video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5,sample,89.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0596000000000938
amt_gaming_vqa_dataset/callofdutyps5_1080p_1500k_av1,sample,98.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08369000000018723
amt_gaming_vqa_dataset/callofdutyps5_1080p_5000k_av1,sample,96.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08278999999981451
amt_gaming_vqa_dataset/callofdutyps5_1080p_500k_av1,sample,99.0,18.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07758999999997762
amt_gaming_vqa_dataset/callofdutyps5_2160p_10000k_av1,sample,31.0,49.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.10479000000004746
amt_gaming_vqa_dataset/callofdutyps5_2160p_1000k_av1,sample,84.0,34.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10099000000000125
amt_gaming_vqa_dataset/callofdutyps5_2160p_5000k_av1,sample,50.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10388999999990745
amt_gaming_vqa_dataset/callofdutyps5_480p_1000k_av1,sample,4.0,35.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07288999999990686
amt_gaming_vqa_dataset/callofdutyps5_720p_1300k_av1,sample,29.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0793899999999077
amt_gaming_vqa_dataset/callofdutyps5_720p_3000k_av1,sample,57.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0788900000003725
amt_gaming_vqa_dataset/callofdutyps5_720p_500k_av1,sample,17.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07488999999990753
amt_gaming_vqa_dataset/callofdutyps5_1080p_10000k_h264nvenc,sample,31.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",4.287690000000186
amt_gaming_vqa_dataset/callofdutyps5_1080p_2300k_h264nvenc,sample,77.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07279000000004743
amt_gaming_vqa_dataset/callofdutyps5_1080p_5300k_h264nvenc,sample,74.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.7410899999996285
amt_gaming_vqa_dataset/callofdutyps5_2160p_25000k_h264nvenc,sample,32.0,44.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.3192900000000467
amt_gaming_vqa_dataset/callofdutyps5_2160p_5000k_h264nvenc,sample,23.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-3.480110000000092
amt_gaming_vqa_dataset/callofdutyps5_2160p_8500k_h264nvenc,sample,18.0,30.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.7197900000000477
amt_gaming_vqa_dataset/callofdutyps5_480p_1000k_h264nvenc,sample,50.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07068999999995462
amt_gaming_vqa_dataset/callofdutyps5_720p_1000k_h264nvenc,sample,96.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07278999999981473
amt_gaming_vqa_dataset/callofdutyps5_720p_2500k_h264nvenc,sample,31.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07779000000027914
amt_gaming_vqa_dataset/callofdutyps5_720p_5000k_h264nvenc,sample,7.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.7403899999999073
amt_gaming_vqa_dataset/callofdutyps5_1080p_2000k_hevcnvenc,sample,8.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07238999999990803
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,74.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.1917899999998145
amt_gaming_vqa_dataset/callofdutyps5_1080p_800k_hevcnvenc,sample,16.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07469000000018688
amt_gaming_vqa_dataset/callofdutyps5_2160p_10000k_hevcnvenc,sample,11.0,28.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07759000000009308
amt_gaming_vqa_dataset/callofdutyps5_2160p_1500k_hevcnvenc,sample,41.0,44.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08139000000037377
amt_gaming_vqa_dataset/callofdutyps5_2160p_6000k_hevcnvenc,sample,60.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07699000000000034
amt_gaming_vqa_dataset/callofdutyps5_480p_800k_hevcnvenc,sample,70.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07059000000009341
amt_gaming_vqa_dataset/callofdutyps5_720p_1500k_hevcnvenc,sample,19.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07018999999972131
amt_gaming_vqa_dataset/callofdutyps5_720p_3500k_hevcnvenc,sample,68.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/callofdutyps5_720p_600k_hevcnvenc,sample,61.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06918999999972186
amt_gaming_vqa_dataset/Faastpenguin_2,sample,49.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",17.343799999999813
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_1500k_av1,sample,1.0,24.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0728900000000241
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5000k_av1,sample,81.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07888999999990709
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_500k_av1,sample,5.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07359000000009353
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_10000k_av1,sample,32.0,25.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09739000000002385
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_1000k_av1,sample,49.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09049000000000085
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_5000k_av1,sample,95.0,79.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09099000000000146
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_av1,sample,27.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07039000000037277
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1300k_av1,sample,93.0,18.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06768999999995451
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3000k_av1,sample,45.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06999000000000066
amt_gaming_vqa_dataset/Faastpenguin_2_720p_500k_av1,sample,63.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06989000000037393
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_10000k_h264nvenc,sample,47.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08159000000009442
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_2300k_h264nvenc,sample,65.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08349000000000117
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5300k_h264nvenc,sample,43.0,40.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07099000000000011
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_25000k_h264nvenc,sample,33.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",40.56399
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_5000k_h264nvenc,sample,33.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10568999999972206
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_8500k_h264nvenc,sample,67.0,22.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",8.271490000000002
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_h264nvenc,sample,54.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07278999999981473
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1000k_h264nvenc,sample,66.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07808999999962829
amt_gaming_vqa_dataset/Faastpenguin_2_720p_2500k_h264nvenc,sample,64.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07288999999990686
amt_gaming_vqa_dataset/Faastpenguin_2_720p_5000k_h264nvenc,sample,77.0,22.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.479810000000047
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_2000k_hevcnvenc,sample,20.0,30.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07449000000000083
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_6000k_hevcnvenc,sample,48.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0717899999998135
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_800k_hevcnvenc,sample,2.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07569000000018633
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_10000k_hevcnvenc,sample,10.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.184990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_1500k_hevcnvenc,sample,24.0,37.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09569000000018768
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_6000k_hevcnvenc,sample,82.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.3722900000000475
amt_gaming_vqa_dataset/Faastpenguin_2_480p_800k_hevcnvenc,sample,63.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06788999999990786
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1500k_hevcnvenc,sample,83.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06899000000000122
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3500k_hevcnvenc,sample,0.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06879000000028057
amt_gaming_vqa_dataset/Faastpenguin_2_720p_600k_hevcnvenc,sample,47.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0659900000000011
amt_gaming_vqa_dataset/Ghostoftsushima_1,sample,62.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0804999999999989
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_1500k_av1,sample,7.0,21.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07458999999997751
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_5000k_av1,sample,78.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08128999999981446
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_500k_av1,sample,4.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_10000k_av1,sample,94.0,32.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10688999999990756
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_1000k_av1,sample,87.0,23.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08518999999995458
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_5000k_av1,sample,80.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09769000000018657
amt_gaming_vqa_dataset/Ghostoftsushima_1_480p_1000k_av1,sample,19.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07019000000018671
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_1300k_av1,sample,40.0,28.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07118999999995346
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_3000k_av1,sample,32.0,28.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0814900000000005
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_500k_av1,sample,31.0,29.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07038999999990736
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_10000k_h264nvenc,sample,71.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07168999999972137
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_2300k_h264nvenc,sample,91.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.078990000000001
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_5300k_h264nvenc,sample,43.0,19.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0797900000000471
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_25000k_h264nvenc,sample,81.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11029000000027978
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_5000k_h264nvenc,sample,53.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10268999999972195
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_8500k_h264nvenc,sample,99.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10699000000000147
amt_gaming_vqa_dataset/Ghostoftsushima_1_480p_1000k_h264nvenc,sample,68.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07088999999990797
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_1000k_h264nvenc,sample,57.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07288999999990686
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_2500k_h264nvenc,sample,60.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07328999999981356
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_5000k_h264nvenc,sample,47.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07088999999990797
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_2000k_hevcnvenc,sample,50.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07599000000000089
