video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Q92r7R5VPGw_GuildWars_1-37,sample,0.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.009699999988079355
amt_gaming_vqa_dataset/Q92r7R5VPGw_GuildWars_1-37,sample,76.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.02509999999403867
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_1500k_av1,sample,97.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.031099999994038896
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_1500k_av1,sample,21.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0779999999999994
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_1300k_av1,sample,93.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.013200000017882019
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_1300k_av1,sample,81.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.02779999998211835
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_500k_av1,sample,50.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0009999999999994458
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_500k_av1,sample,79.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.016000000000000014
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,59.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.006099999994040317
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,6.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.01759999999404016
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,4.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.001200000017881564
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,19.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0010999999940395355
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,55.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004400000005960081
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,78.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.002000000000000668
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,71.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.061800000011920986
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,98.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0015000000000000568
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,87.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-4.7905
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,88.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0020999999940389813
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,7.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,23.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0017999999821185497
