video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/CatQuestII_480p_1000k_av1,sample,63.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06489000000596157
amt_gaming_vqa_dataset/CatQuestII_480p_1000k_av1,sample,39.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06348999999999982
amt_gaming_vqa_dataset/CatQuestII_720p_1000k_h264nvenc,sample,6.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04778999999702016
amt_gaming_vqa_dataset/CatQuestII_720p_1000k_h264nvenc,sample,15.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08728999999702047
amt_gaming_vqa_dataset/Sessionskatesim_1_720p_1000k_h264nvenc,sample,53.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07940000000596115
amt_gaming_vqa_dataset/Sessionskatesim_1_720p_1000k_h264nvenc,sample,29.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07640000000596103
amt_gaming_vqa_dataset/Fallout4_1_1080p_2300k_h264nvenc,sample,18.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.18069000000298097
amt_gaming_vqa_dataset/Fallout4_1_1080p_2300k_h264nvenc,sample,97.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07578999999702063
amt_gaming_vqa_dataset/Fallout4_1_1080p_2000k_hevcnvenc,sample,19.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0827899999970203
amt_gaming_vqa_dataset/Fallout4_1_1080p_2000k_hevcnvenc,sample,69.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07499000000000144
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,91.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09270000000297962
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09239999999105919
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,45.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09259999999403945
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,93.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09248999999999974
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,73.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11440000000596129
