video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5_1080p_500k_av1,sample,57.0,45.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09239000000596143
amt_gaming_vqa_dataset/callofdutyps5_1080p_500k_av1,sample,96.0,56.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08449000000000062
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_6000k_hevcnvenc,sample,75.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.055789999997021056
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_6000k_hevcnvenc,sample,74.0,61.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0605899999940398
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_800k_hevcnvenc,sample,20.0,60.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.05019000000298135
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_800k_hevcnvenc,sample,38.0,49.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.05038999999105975
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_3000k_av1,sample,51.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.08119000000298016
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_3000k_av1,sample,60.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0838900000059617
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_5300k_h264nvenc,sample,86.0,57.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07289000000596069
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_5300k_h264nvenc,sample,72.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09639000000596099
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_8500k_h264nvenc,sample,95.0,60.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.2534900000000011
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_8500k_h264nvenc,sample,12.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.2059899999999999
