video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24,sample,8.0,40.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.11346700000149035
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_1300k_av1,sample,79.0,36.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.005666999997020028
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_3000k_av1,sample,84.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.011667000000745276
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_500k_av1,sample,24.0,37.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.002833000002979702
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_1000k_h264_nvenc,sample,46.0,31.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.024732999997764793
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_2500k_h264_nvenc,sample,49.0,30.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.00646699999776601
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_5000k_h264_nvenc,sample,58.0,28.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.010433000000745096
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_1500k_hevc_nvenc,sample,34.0,31.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0035330000022355534
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_3500k_hevc_nvenc,sample,37.0,41.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0022330000014889606
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_600k_hevc_nvenc,sample,76.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.009667000000744608
amt_gaming_vqa_dataset/91hOwhV-igE_PUBGMobile_12-06,sample,26.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.004966999997765953
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_23-10_480p_1000k_av1,sample,78.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.038600000001491
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_23-10_480p_1000k_h264_nvenc,sample,55.0,30.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03149999999999942
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_23-10_480p_800k_hevc_nvenc,sample,66.0,32.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00830000000074449
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30,sample,30.0,29.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.04186699999999988
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_1300k_av1,sample,93.0,31.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.005132999999998944
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_3000k_av1,sample,78.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.03933299999925488
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_500k_av1,sample,55.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0006329999999987734
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_1000k_h264_nvenc,sample,87.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006266999998510769
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_2500k_h264_nvenc,sample,15.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.012367000000001127
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_5000k_h264_nvenc,sample,26.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.003433000000745423
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_1500k_hevc_nvenc,sample,52.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.01313299999999984
amt_gaming_vqa_dataset/_88aJYTz4gI_HalfLife2_10-30_720p_3500k_hevc_nvenc,sample,80.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.011132999999999171
