video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/Afterus,Highly Clear,No visible artifacts,High level of immersion,24,7,1,20,9,3,21,9,2
amt_gaming_vqa_dataset/Afterus_1080p_10000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,20,13,0,20,13,0,19,12,2
amt_gaming_vqa_dataset/Afterus_1080p_1500k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,17,13,3,12,19,2,13,16,4
amt_gaming_vqa_dataset/Afterus_1080p_2000k_hevcnvenc,Moderately Clear,No visible artifacts,High level of immersion,14,16,3,15,14,4,14,14,5
amt_gaming_vqa_dataset/Afterus_1080p_2300k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,13,17,6,8,19,3,11,19
amt_gaming_vqa_dataset/Afterus_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,21,11,1,20,10,3,20,12,1
amt_gaming_vqa_dataset/Afterus_1080p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,15,15,5,11,17,3,13,17
amt_gaming_vqa_dataset/Afterus_1080p_5300k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,19,2,12,19,2,9,20,4
amt_gaming_vqa_dataset/Afterus_1080p_6000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,15,14,3,19,10,3,15,13,4
amt_gaming_vqa_dataset/Afterus_1080p_800k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,12,19,3,11,19,2,12,19
amt_gaming_vqa_dataset/Afterus_2160p_10000k_av1,Highly Clear,No visible artifacts,High level of immersion,27,4,2,26,6,1,25,7,1
amt_gaming_vqa_dataset/Afterus_2160p_10000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,22,7,2,18,10,3,18,10,3
amt_gaming_vqa_dataset/Afterus_2160p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,22,6,9,15,9,5,21,7
amt_gaming_vqa_dataset/Afterus_2160p_1500k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,5,7,19,5,8,18,3,8,20
amt_gaming_vqa_dataset/Afterus_2160p_25000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,19,11,1,18,10,3,19,9,3
amt_gaming_vqa_dataset/Afterus_2160p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,18,13,1,21,11,0,18,13,1
amt_gaming_vqa_dataset/Afterus_2160p_5000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,12,16,2,11,18,4,10,17
amt_gaming_vqa_dataset/Afterus_2160p_6000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,18,11,2,19,10,2,17,10,4
amt_gaming_vqa_dataset/Afterus_2160p_8500k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,16,8,7,13,10,5,16,9
amt_gaming_vqa_dataset/Afterus_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,18,5,10,18,5,11,17,5
amt_gaming_vqa_dataset/Afterus_480p_1000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,15,16,4,12,17,1,15,17
amt_gaming_vqa_dataset/Afterus_480p_800k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Moderate level of immersion,5,14,14,4,12,17,2,16,15
amt_gaming_vqa_dataset/Afterus_720p_1000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,7,25,2,5,26,0,7,26
amt_gaming_vqa_dataset/Afterus_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,17,4,11,19,3,13,15,5
amt_gaming_vqa_dataset/Afterus_720p_1500k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,17,7,10,17,6,11,15,7
amt_gaming_vqa_dataset/Afterus_720p_2500k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,21,6,9,18,6,7,18,8
amt_gaming_vqa_dataset/Afterus_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,18,14,1,19,13,1,18,13,2
amt_gaming_vqa_dataset/Afterus_720p_3500k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,16,3,15,15,3,13,16,4
amt_gaming_vqa_dataset/Afterus_720p_5000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,21,11,1,20,10,3,18,11,4
amt_gaming_vqa_dataset/Afterus_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,16,10,5,15,13,5,15,13
amt_gaming_vqa_dataset/Afterus_720p_600k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,13,17,3,12,18,2,11,20
amt_gaming_vqa_dataset/CatQuest,Highly Clear,No visible artifacts,High level of immersion,26,12,1,24,13,2,25,13,1
amt_gaming_vqa_dataset/CatQuest_1080p_10000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,29,8,3,29,10,1,27,9,4
amt_gaming_vqa_dataset/CatQuest_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,27,10,3,26,11,3,26,11,3
amt_gaming_vqa_dataset/CatQuest_1080p_2000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,24,13,3,23,15,2,23,13,4
amt_gaming_vqa_dataset/CatQuest_1080p_2300k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,24,14,2,23,14,3,22,14,4
amt_gaming_vqa_dataset/CatQuest_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,29,10,1,27,11,2,27,12,1
amt_gaming_vqa_dataset/CatQuest_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,13,17,10,13,18,9,12,18,10
amt_gaming_vqa_dataset/CatQuest_1080p_5300k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,24,13,3,23,14,3,25,13,2
amt_gaming_vqa_dataset/CatQuest_1080p_6000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,27,10,3,25,11,4,26,11,3
amt_gaming_vqa_dataset/CatQuest_1080p_800k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,19,13,9,17,14,8,18,14
amt_gaming_vqa_dataset/CatQuest_2160p_10000k_av1,Highly Clear,No visible artifacts,High level of immersion,28,9,2,26,9,4,25,10,4
amt_gaming_vqa_dataset/CatQuest_2160p_10000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,29,11,0,28,11,1,29,11,0
amt_gaming_vqa_dataset/CatQuest_2160p_1000k_av1,Highly Clear,No visible artifacts,High level of immersion,24,14,2,24,15,1,21,14,5
amt_gaming_vqa_dataset/CatQuest_2160p_1500k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,20,6,15,20,5,16,20,4
amt_gaming_vqa_dataset/CatQuest_2160p_25000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,27,13,0,27,12,1,24,13,3
amt_gaming_vqa_dataset/CatQuest_2160p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,30,8,1,30,8,1,29,7,3
amt_gaming_vqa_dataset/CatQuest_2160p_5000k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,19,6,13,20,6,13,17,9
amt_gaming_vqa_dataset/CatQuest_2160p_6000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,28,9,2,25,12,2,28,9,2
amt_gaming_vqa_dataset/CatQuest_2160p_8500k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,25,12,1,23,12,3,23,13,2
amt_gaming_vqa_dataset/CatQuest_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,20,4,16,20,4,16,20,4
amt_gaming_vqa_dataset/CatQuest_480p_1000k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,24,12,6,22,12,5,22,13
amt_gaming_vqa_dataset/CatQuest_480p_800k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,22,9,10,21,9,10,22,8
amt_gaming_vqa_dataset/CatQuest_720p_1000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,14,24,4,13,23,4,13,23
amt_gaming_vqa_dataset/CatQuest_720p_1300k_av1,Highly Clear,No visible artifacts,High level of immersion,22,14,4,20,16,4,21,13,6
amt_gaming_vqa_dataset/CatQuest_720p_1500k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,25,12,3,22,15,3,23,14,3
amt_gaming_vqa_dataset/CatQuest_720p_2500k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,21,17,2,21,16,3,22,16,2
amt_gaming_vqa_dataset/CatQuest_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,27,10,3,28,11,1,27,11,2
amt_gaming_vqa_dataset/CatQuest_720p_3500k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,26,13,1,27,12,1,25,15,0
amt_gaming_vqa_dataset/CatQuest_720p_5000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,27,9,4,25,13,2,26,10,4
amt_gaming_vqa_dataset/CatQuest_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,19,5,16,20,4,17,18,5
amt_gaming_vqa_dataset/CatQuest_720p_600k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,19,12,9,22,9,10,18,12
amt_gaming_vqa_dataset/Daysgone_1,Highly Clear,No visible artifacts,High level of immersion,29,6,1,23,12,1,23,13,0
amt_gaming_vqa_dataset/Daysgone_1_1080p_10000k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,17,1,16,17,2,13,20,2
amt_gaming_vqa_dataset/Daysgone_1_1080p_1500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,2,23,12,6,19,12,5,21,11
amt_gaming_vqa_dataset/Daysgone_1_1080p_2000k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Moderate level of immersion,3,15,19,2,17,18,3,18,16
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,7,26,2,8,25,1,13,21
amt_gaming_vqa_dataset/Daysgone_1_1080p_5000k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,17,16,4,15,18,4,14,19,4
amt_gaming_vqa_dataset/Daysgone_1_1080p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,26,3,9,25,5,9,23
amt_gaming_vqa_dataset/Daysgone_1_1080p_5300k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,22,7,4,27,6,8,24,5
amt_gaming_vqa_dataset/Daysgone_1_1080p_6000k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,17,3,16,16,3,13,20,2
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,6,29,2,8,27,4,6,27
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,18,16,3,14,20,3,15,19,3
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_hevcnvenc,Highly Clear,Minor Artifacts Present,High level of immersion,18,12,2,13,17,2,16,14,2
amt_gaming_vqa_dataset/Daysgone_1_2160p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,5,12,20,2,14,21,3,13,21
amt_gaming_vqa_dataset/Daysgone_1_2160p_1500k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,7,25,2,9,23,2,9,23
amt_gaming_vqa_dataset/Daysgone_1_2160p_25000k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,14,18,2,10,22,2,15,18,1
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,16,4,12,21,3,12,22,2
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,7,28,4,10,23,3,12,22
amt_gaming_vqa_dataset/Daysgone_1_2160p_6000k_hevcnvenc,Moderately Clear,No visible artifacts,Moderate level of immersion,13,17,4,15,14,5,12,19,3
amt_gaming_vqa_dataset/Daysgone_1_2160p_8500k_h264nvenc,Minimally Clear,Minor Artifacts Present,Low level of immersion,5,15,15,4,17,14,8,13,14
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Moderate level of immersion,2,13,22,4,12,21,1,18,18
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,8,28,4,5,28,2,11,24
amt_gaming_vqa_dataset/Daysgone_1_480p_800k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,15,22,2,16,19,4,14,19
amt_gaming_vqa_dataset/Daysgone_1_720p_1000k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,6,28,3,6,27,0,11,25
amt_gaming_vqa_dataset/Daysgone_1_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,2,18,16,1,19,16,2,21,13
amt_gaming_vqa_dataset/Daysgone_1_720p_1500k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,21,10,4,20,13,4,22,11
