video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,72.0,95.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",9.98899
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,72.0,88.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",9.79199
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,57.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.6469900000000006
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,2.0,15.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.6379900000000003
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_hevcnvenc,sample,38.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0939899999999998
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_hevcnvenc,sample,23.0,5.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.19799000000000078
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_5000k_h264nvenc,sample,44.0,22.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",4.6119900000000005
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_5000k_h264nvenc,sample,19.0,7.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",4.49099
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_2000k_hevcnvenc,sample,85.0,8.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.19199000000000055
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_2000k_hevcnvenc,sample,21.0,31.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.08699000000000012
amt_gaming_vqa_dataset/Farcry6_2_1080p_6000k_hevcnvenc,sample,12.0,6.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.06198999999999977
amt_gaming_vqa_dataset/Farcry6_2_1080p_6000k_hevcnvenc,sample,36.0,20.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.05699000000000076
