video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/QXPT_kEoVT4_HalfLife2_9-35_1080p_1500k_av1,sample,88.0,89.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00869999998807991
amt_gaming_vqa_dataset/QXPT_kEoVT4_HalfLife2_9-35_1080p_1500k_av1,sample,80.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.011400000005959754
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1300k_av1,sample,44.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.012432999982118886
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1300k_av1,sample,94.0,92.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.02573299999403922
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_3000k_av1,sample,67.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0015999999940401466
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_3000k_av1,sample,54.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0005999999940389245
amt_gaming_vqa_dataset/l2r2yrzKm-0_MarioKartTour_0-03,sample,44.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0070670000059589455
amt_gaming_vqa_dataset/l2r2yrzKm-0_MarioKartTour_0-03,sample,24.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.9410330000178817
amt_gaming_vqa_dataset/7B22h8ZiZ5M_FIFA_19-00,sample,77.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.018000000000000682
amt_gaming_vqa_dataset/7B22h8ZiZ5M_FIFA_19-00,sample,90.0,76.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01540000000596109
amt_gaming_vqa_dataset/VZdrzpg-Iok_Valheim_1-34-06,sample,14.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0010329999880802632
amt_gaming_vqa_dataset/VZdrzpg-Iok_Valheim_1-34-06,sample,52.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.28983300000000156
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,85.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0039999999999995595
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,61.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.001400000005959967
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,98.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0024999999999995026
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,24.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",9.999999404008975e-05
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,11.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.003599999994039038
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,75.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0015999999940401466
