video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Marvelspiderman_1_480p_1000k_av1,sample,2.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.59761000000894
amt_gaming_vqa_dataset/Marvelspiderman_1_480p_1000k_av1,sample,20.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.166509999999999
amt_gaming_vqa_dataset/Marvelspiderman_1_480p_1000k_h264nvenc,sample,38.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.44211000000894
amt_gaming_vqa_dataset/Marvelspiderman_1_480p_1000k_h264nvenc,sample,94.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.663710000002979
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_6000k_hevcnvenc,sample,98.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10299000000000014
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_6000k_hevcnvenc,sample,30.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-1.0403099999970191
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_800k_hevcnvenc,sample,50.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.888109999994039
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_800k_hevcnvenc,sample,1.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.79401
amt_gaming_vqa_dataset/Marvelspiderman_2_1080p_5300k_h264nvenc,sample,89.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",10.15668999998808
amt_gaming_vqa_dataset/Marvelspiderman_2_1080p_5300k_h264nvenc,sample,18.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.313509999999999
amt_gaming_vqa_dataset/Marvelspiderman_2_1080p_800k_hevcnvenc,sample,56.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.113609999994039
amt_gaming_vqa_dataset/Marvelspiderman_2_1080p_800k_hevcnvenc,sample,45.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.802809999997019
