video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00,sample,72.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",3.1768400000029793
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1300k_av1,sample,61.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04243999999701842
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3000k_av1,sample,21.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07033999999552876
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_500k_av1,sample,6.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03293999999701924
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1000k_h264_nvenc,sample,43.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01953999999850886
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_2500k_h264_nvenc,sample,76.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0019600000014907693
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_5000k_h264_nvenc,sample,74.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.003159999997020435
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1500k_hevc_nvenc,sample,93.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.018459999994039578
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3500k_hevc_nvenc,sample,5.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.026659999997020734
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_600k_hevc_nvenc,sample,76.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01065999999702072
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13,sample,56.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.002900000005960024
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_av1,sample,20.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.007700000002980545
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_h264_nvenc,sample,53.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.011899999998510324
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_800k_hevc_nvenc,sample,39.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.033399999998509955
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33,sample,17.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.009700000002979436
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33_480p_1000k_av1,sample,56.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.010999999999999233
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33_480p_1000k_h264_nvenc,sample,12.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.014200000002979607
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33_480p_800k_hevc_nvenc,sample,38.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.015600000001489533
amt_gaming_vqa_dataset/65_g_iLmcTk_Myst_12-34,sample,15.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.013900000005961033
amt_gaming_vqa_dataset/WS_UUN5r0ME_GarrysMod_8-12,sample,57.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0039999999999995595
amt_gaming_vqa_dataset/zCk9CVvGGkg_StarCraft_6-12,sample,2.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.007399999998510154
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03,sample,67.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04749999999999943
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1300k_av1,sample,51.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.041499999999999204
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3000k_av1,sample,52.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05610000000148929
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_500k_av1,sample,60.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.14129999999702036
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1000k_h264_nvenc,sample,20.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0039999999999995595
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_2500k_h264_nvenc,sample,49.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.029100000001490045
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_5000k_h264_nvenc,sample,5.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.033500000000000085
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1500k_hevc_nvenc,sample,14.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006300000004470618
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3500k_hevc_nvenc,sample,86.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0026999999955297227
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_600k_hevc_nvenc,sample,77.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.022800000004469467
amt_gaming_vqa_dataset/uS1-YhWN7f4_IceAgeVillage_4-44,sample,89.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004439999997019939
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_1500k_av1,sample,30.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1496670000044702
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_5000k_av1,sample,73.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13586700000000107
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_500k_av1,sample,6.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.18196700000149058
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_10000k_h264_nvenc,sample,78.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.019866999999999635
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_2300k_h264_nvenc,sample,9.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.022367000000000914
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_5300k_h264_nvenc,sample,81.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0040330000059594084
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_2000k_hevc_nvenc,sample,2.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0008330000029790341
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_6000k_hevc_nvenc,sample,56.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0284330000044708
amt_gaming_vqa_dataset/UQYLG-zcxV0_Rust_0-25_1080p_800k_hevc_nvenc,sample,51.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03043300000446969
amt_gaming_vqa_dataset/y_EQ25DFLTq3M_Cyberpunk2077_13-23_480p_1000k_av1,sample,58.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.005199999995529225
amt_gaming_vqa_dataset/y_EQ25DFLTq3M_Cyberpunk2077_13-23_480p_1000k_h264_nvenc,sample,70.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.022899999998509557
amt_gaming_vqa_dataset/y_EQ25DFLTq3M_Cyberpunk2077_13-23_480p_800k_hevc_nvenc,sample,13.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.007200000002979934
