video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/skyrim_2,sample,52.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07780100001192025
amt_gaming_vqa_dataset/skyrim_2_1080p_10000k_h264nvenc,sample,16.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015589999994039871
amt_gaming_vqa_dataset/skyrim_2_1080p_2300k_h264nvenc,sample,84.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08458999999404071
amt_gaming_vqa_dataset/skyrim_2_1080p_5300k_h264nvenc,sample,86.0,44.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0006100000238404846
amt_gaming_vqa_dataset/skyrim_2_2160p_25000k_h264nvenc,sample,33.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009689999988079734
amt_gaming_vqa_dataset/skyrim_2_2160p_5000k_h264nvenc,sample,14.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06048999999999971
amt_gaming_vqa_dataset/skyrim_2_2160p_8500k_h264nvenc,sample,72.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.4543900000059615
amt_gaming_vqa_dataset/skyrim_2_480p_1000k_h264nvenc,sample,82.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.03979000001192112
amt_gaming_vqa_dataset/skyrim_2_720p_1000k_h264nvenc,sample,56.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.011709999988077868
amt_gaming_vqa_dataset/skyrim_2_720p_2500k_h264nvenc,sample,99.0,27.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0028100000119195556
amt_gaming_vqa_dataset/skyrim_2_720p_5000k_h264nvenc,sample,68.0,52.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.030889999976158933
amt_gaming_vqa_dataset/skyrim_2_1080p_2000k_hevcnvenc,sample,6.0,28.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.004509999999999792
amt_gaming_vqa_dataset/skyrim_2_1080p_6000k_hevcnvenc,sample,80.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.015910000005959546
amt_gaming_vqa_dataset/skyrim_2_1080p_800k_hevcnvenc,sample,52.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.011609999994039555
amt_gaming_vqa_dataset/skyrim_2_2160p_10000k_hevcnvenc,sample,76.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.01918999998807891
amt_gaming_vqa_dataset/skyrim_2_2160p_1500k_hevcnvenc,sample,33.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.009189999988079123
amt_gaming_vqa_dataset/skyrim_2_2160p_6000k_hevcnvenc,sample,36.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.011810000011919897
amt_gaming_vqa_dataset/skyrim_2_480p_800k_hevcnvenc,sample,46.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.002509999999999124
amt_gaming_vqa_dataset/skyrim_2_720p_1500k_hevcnvenc,sample,76.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.002789999982118374
amt_gaming_vqa_dataset/skyrim_2_720p_3500k_hevcnvenc,sample,15.0,63.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.005689999988080174
amt_gaming_vqa_dataset/skyrim_2_720p_600k_hevcnvenc,sample,86.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.008390000005961795
amt_gaming_vqa_dataset/skyrim_2_1080p_1500k_av1,sample,92.0,41.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004089999994040028
amt_gaming_vqa_dataset/skyrim_2_1080p_5000k_av1,sample,42.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.014890000005960857
amt_gaming_vqa_dataset/skyrim_2_1080p_500k_av1,sample,8.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.009109999994038276
amt_gaming_vqa_dataset/skyrim_2_2160p_10000k_av1,sample,95.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07508999999403976
