video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,sample,32.0,71.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.12288999997615946
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,sample,1.0,69.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.13038999997615797
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,sample,71.0,91.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.1622900000715255
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,sample,71.0,39.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.10778999995231686
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_6000k_hevcnvenc,sample,94.0,66.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.11788999997615868
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_6000k_hevcnvenc,sample,60.0,75.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.17899000000000065
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_1500k_av1,sample,85.0,66.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.11179000007152595
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_1500k_av1,sample,68.0,62.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.14388999997615848
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_500k_av1,sample,0.0,64.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.09519000004768507
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_500k_av1,sample,97.0,71.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.10018999992847455
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_8500k_h264nvenc,sample,48.0,83.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.1439900000000005
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_8500k_h264nvenc,sample,76.0,64.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.13179000007152553
