video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5,sample,21.0,62.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09319999980926497
amt_gaming_vqa_dataset/callofdutyps5_1080p_1500k_av1,sample,71.0,54.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07948999999999984
amt_gaming_vqa_dataset/callofdutyps5_1080p_5000k_av1,sample,75.0,66.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10828999995231747
amt_gaming_vqa_dataset/callofdutyps5_1080p_500k_av1,sample,25.0,68.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.9340099999999989
amt_gaming_vqa_dataset/callofdutyps5_2160p_10000k_av1,sample,43.0,53.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.1050899999046333
amt_gaming_vqa_dataset/callofdutyps5_2160p_1000k_av1,sample,64.0,74.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.12288999985694993
amt_gaming_vqa_dataset/callofdutyps5_2160p_5000k_av1,sample,1.0,57.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10419000004768364
amt_gaming_vqa_dataset/callofdutyps5_480p_1000k_av1,sample,60.0,73.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.1423899998569489
amt_gaming_vqa_dataset/callofdutyps5_720p_1300k_av1,sample,4.0,25.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.06759000014305094
amt_gaming_vqa_dataset/callofdutyps5_720p_3000k_av1,sample,52.0,66.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.08039000009536856
amt_gaming_vqa_dataset/callofdutyps5_720p_500k_av1,sample,2.0,64.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0659900000000011
amt_gaming_vqa_dataset/callofdutyps5_1080p_10000k_h264nvenc,sample,86.0,62.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.11519000004768465
amt_gaming_vqa_dataset/callofdutyps5_1080p_2300k_h264nvenc,sample,23.0,48.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08978999995231618
amt_gaming_vqa_dataset/callofdutyps5_1080p_5300k_h264nvenc,sample,93.0,62.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07469000004768489
