video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,83.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07358999999962812
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,34.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07408999999962873
amt_gaming_vqa_dataset/Deadspace_2160p_25000k_h264nvenc,sample,41.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06478999999981383
amt_gaming_vqa_dataset/Deadspace_2160p_25000k_h264nvenc,sample,85.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08749000000000073
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_500k_av1,sample,32.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06409000000009435
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_500k_av1,sample,69.0,47.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07658999999962823
amt_gaming_vqa_dataset/Farcry6_2_1080p_500k_av1,sample,20.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04959000000009439
amt_gaming_vqa_dataset/Farcry6_2_1080p_500k_av1,sample,97.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0805900000005586
amt_gaming_vqa_dataset/Farcry6_2_2160p_10000k_av1,sample,8.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",5.726590000000559
amt_gaming_vqa_dataset/Farcry6_2_2160p_10000k_av1,sample,54.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.9893900000003732
amt_gaming_vqa_dataset/Farcry6_2_2160p_5000k_av1,sample,46.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11608999999962855
amt_gaming_vqa_dataset/Farcry6_2_2160p_5000k_av1,sample,51.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.8722899999998148
