video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,94.0,85.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10578999999701999
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,0.0,77.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.09558999999403994
amt_gaming_vqa_dataset/Deadspace_480p_1000k_h264nvenc,sample,59.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.15668999999553002
amt_gaming_vqa_dataset/Deadspace_480p_1000k_h264nvenc,sample,51.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10428999999701993
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_10000k_av1,sample,97.0,75.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.8116900000029812
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_10000k_av1,sample,74.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.92409000000149
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_3000k_av1,sample,79.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10568999999552986
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_3000k_av1,sample,58.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10859000000148988
amt_gaming_vqa_dataset/Farcry6_2_720p_5000k_h264nvenc,sample,59.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0814900000000005
amt_gaming_vqa_dataset/Farcry6_2_720p_5000k_h264nvenc,sample,52.0,69.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.08708999999404021
amt_gaming_vqa_dataset/Farcry6_2_1080p_2000k_hevcnvenc,sample,55.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.10349000000000075
amt_gaming_vqa_dataset/Farcry6_2_1080p_2000k_hevcnvenc,sample,50.0,58.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.08539000000596175
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,47.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.4565000000000001
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,17.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.41920000000298074
