video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1,sample,89.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",11.67539999997616
amt_gaming_vqa_dataset/Daysgone_1_1080p_1500k_av1,sample,91.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09089000009536718
amt_gaming_vqa_dataset/Daysgone_1_1080p_5000k_av1,sample,93.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10329000007152622
amt_gaming_vqa_dataset/Daysgone_1_1080p_500k_av1,sample,59.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08309000002384259
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_av1,sample,95.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.38199
amt_gaming_vqa_dataset/Daysgone_1_2160p_1000k_av1,sample,53.0,60.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.5390900000238421
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_av1,sample,7.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.4612900000715268
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_av1,sample,61.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0725900000238422
amt_gaming_vqa_dataset/Daysgone_1_720p_1300k_av1,sample,49.0,75.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.08069000004768512
amt_gaming_vqa_dataset/Daysgone_1_720p_3000k_av1,sample,28.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08538999997615804
amt_gaming_vqa_dataset/Daysgone_1_720p_500k_av1,sample,68.0,81.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08909000002384282
amt_gaming_vqa_dataset/Daysgone_1_1080p_10000k_h264nvenc,sample,19.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09529000007152533
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,24.0,37.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.07659000002384175
amt_gaming_vqa_dataset/Daysgone_1_1080p_5300k_h264nvenc,sample,59.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07369000004768367
amt_gaming_vqa_dataset/Daysgone_1_2160p_25000k_h264nvenc,sample,86.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11659000002384268
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_h264nvenc,sample,42.0,52.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.14048999999999978
amt_gaming_vqa_dataset/Daysgone_1_2160p_8500k_h264nvenc,sample,35.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09438999997615838
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_h264nvenc,sample,77.0,61.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.07209000002384158
amt_gaming_vqa_dataset/Daysgone_1_720p_1000k_h264nvenc,sample,15.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08119000004768395
amt_gaming_vqa_dataset/Daysgone_1_720p_2500k_h264nvenc,sample,63.0,19.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.07159000002384275
amt_gaming_vqa_dataset/Daysgone_1_720p_5000k_h264nvenc,sample,40.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06609000002384313
amt_gaming_vqa_dataset/Daysgone_1_1080p_2000k_hevcnvenc,sample,56.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07009000002384269
amt_gaming_vqa_dataset/Daysgone_1_1080p_6000k_hevcnvenc,sample,34.0,84.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,1.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07138999997615869
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_hevcnvenc,sample,81.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06878999995231716
amt_gaming_vqa_dataset/Daysgone_1_2160p_1500k_hevcnvenc,sample,85.0,77.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.07219000004768361
amt_gaming_vqa_dataset/Daysgone_1_2160p_6000k_hevcnvenc,sample,45.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0914900000000003
amt_gaming_vqa_dataset/Daysgone_1_480p_800k_hevcnvenc,sample,28.0,55.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.06959000002384208
amt_gaming_vqa_dataset/Daysgone_1_720p_1500k_hevcnvenc,sample,39.0,61.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.06269000004768444
amt_gaming_vqa_dataset/Daysgone_1_720p_3500k_hevcnvenc,sample,5.0,22.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.05028999995231764
amt_gaming_vqa_dataset/Daysgone_1_720p_600k_hevcnvenc,sample,54.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07609000002384292
amt_gaming_vqa_dataset/Genshinimpact_1,sample,84.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",11.014600000023842
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_1500k_av1,sample,20.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09299000000000035
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_5000k_av1,sample,51.0,60.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.09959000002384322
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_500k_av1,sample,16.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08538999997615804
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_10000k_av1,sample,22.0,84.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",2.766490000000001
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_1000k_av1,sample,69.0,76.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.6045900000238422
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_5000k_av1,sample,86.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.6635900000238433
amt_gaming_vqa_dataset/Genshinimpact_1_480p_1000k_av1,sample,4.0,68.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.07119000004768417
amt_gaming_vqa_dataset/Genshinimpact_1_720p_1300k_av1,sample,45.0,30.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.08179000007152659
