video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Marvelspiderman_1,sample,51.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.026899999999441704
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_1500k_av1,sample,92.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08728999999981468
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_5000k_av1,sample,84.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04969000000018653
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_500k_av1,sample,77.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.082690000000186
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_10000k_av1,sample,99.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",8.089089999999628
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_1000k_av1,sample,55.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.15299000000000085
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_5000k_av1,sample,26.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.7167899999998149
amt_gaming_vqa_dataset/Marvelspiderman_1_480p_1000k_av1,sample,77.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06508999999962839
amt_gaming_vqa_dataset/Marvelspiderman_1_720p_1300k_av1,sample,72.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07458999999962757
amt_gaming_vqa_dataset/Marvelspiderman_1_720p_3000k_av1,sample,62.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07829000000074515
amt_gaming_vqa_dataset/Marvelspiderman_1_720p_500k_av1,sample,36.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06959000000055937
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_10000k_h264nvenc,sample,78.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0550899999996286
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_2300k_h264nvenc,sample,99.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1284900000000011
amt_gaming_vqa_dataset/Marvelspiderman_1_1080p_5300k_h264nvenc,sample,37.0,79.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11189000000037375
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_25000k_h264nvenc,sample,79.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11208999999962721
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_5000k_h264nvenc,sample,1.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.13649000000000022
amt_gaming_vqa_dataset/Marvelspiderman_1_2160p_8500k_h264nvenc,sample,93.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07778999999981373
