video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Sessionskatesim_2,sample,42.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",26.359
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_1500k_av1,sample,96.0,66.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.09488999997615899
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5000k_av1,sample,55.0,46.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.10338999997615872
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_500k_av1,sample,7.0,59.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07808999990463228
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_av1,sample,85.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.1489900000000013
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1000k_av1,sample,21.0,62.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1368899999761588
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_av1,sample,66.0,53.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.17568999992847445
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_av1,sample,84.0,41.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07119000004768417
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1300k_av1,sample,65.0,59.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0836899999284757
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3000k_av1,sample,27.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04859000002384306
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_500k_av1,sample,17.0,58.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07708999990463283
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_10000k_h264nvenc,sample,69.0,53.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.08959000002384165
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2300k_h264nvenc,sample,58.0,67.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.07599000000000089
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5300k_h264nvenc,sample,9.0,65.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07718999992847486
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_25000k_h264nvenc,sample,3.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-4.567110000023841
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_h264nvenc,sample,82.0,60.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.19269000004768344
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_8500k_h264nvenc,sample,35.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2353899999761584
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_h264nvenc,sample,4.0,54.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06319000004768505
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1000k_h264nvenc,sample,45.0,53.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.066690000047684
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_2500k_h264nvenc,sample,39.0,57.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.06938999997615802
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_5000k_h264nvenc,sample,91.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07588999997615886
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2000k_hevcnvenc,sample,19.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.05509000002384212
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_6000k_hevcnvenc,sample,13.0,56.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_800k_hevcnvenc,sample,9.0,55.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0548900000953676
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_hevcnvenc,sample,13.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05009000002384312
