video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,37.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.035189999809265515
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,46.0,86.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",1.0743900000953683
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,64.0,62.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0862900001907363
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,22.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08308999990463306
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_3000k_av1,sample,79.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.013500000000000512
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_3000k_av1,sample,88.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.007500000000000284
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00_1080p_500k_av1,sample,77.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.011799999713897336
amt_gaming_vqa_dataset/AGXB0DUZ9rw_CallofDutyMobile_0-00_1080p_500k_av1,sample,48.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.9766999998092647
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_11-50_480p_1000k_av1,sample,70.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0268999996185304
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_11-50_480p_1000k_av1,sample,67.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",2.1569000000953675
