video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,83.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0442000000178826
amt_gaming_vqa_dataset/Godofwar_1_1080p_1500k_av1,sample,30.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/Godofwar_1_1080p_5000k_av1,sample,6.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10008999999404011
amt_gaming_vqa_dataset/Godofwar_1_1080p_500k_av1,sample,36.0,6.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_av1,sample,35.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.3554900000000014
amt_gaming_vqa_dataset/Godofwar_1_2160p_1000k_av1,sample,66.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.95468999998808
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,98.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.9121900000178815
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_av1,sample,0.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Godofwar_1_720p_1300k_av1,sample,78.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07908999999403932
amt_gaming_vqa_dataset/Godofwar_1_720p_3000k_av1,sample,28.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09229000001192134
amt_gaming_vqa_dataset/Godofwar_1_720p_500k_av1,sample,11.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07169000001788284
amt_gaming_vqa_dataset/Godofwar_1_1080p_10000k_h264nvenc,sample,8.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0687899999821191
amt_gaming_vqa_dataset/Godofwar_1_1080p_2300k_h264nvenc,sample,52.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07018999998807907
amt_gaming_vqa_dataset/Godofwar_1_1080p_5300k_h264nvenc,sample,89.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05478999998211975
amt_gaming_vqa_dataset/Godofwar_1_2160p_25000k_h264nvenc,sample,21.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1350900000238422
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_h264nvenc,sample,56.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08179000001192094
amt_gaming_vqa_dataset/Godofwar_1_2160p_8500k_h264nvenc,sample,57.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05079000001192213
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_h264nvenc,sample,1.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07099000000000011
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,0.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07258999999404026
