video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter,sample,36.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",7.3415
amt_gaming_vqa_dataset/JakandDaxter_1080p_1500k_av1,sample,53.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09480000001192046
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,1.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.059600000023841915
amt_gaming_vqa_dataset/JakandDaxter_1080p_500k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_av1,sample,62.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.17539999997615752
amt_gaming_vqa_dataset/JakandDaxter_2160p_1000k_av1,sample,17.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1581000000238415
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_av1,sample,70.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.16419999998807988
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_av1,sample,32.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07730000001192039
amt_gaming_vqa_dataset/JakandDaxter_720p_1300k_av1,sample,1.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08589999997615827
amt_gaming_vqa_dataset/JakandDaxter_720p_3000k_av1,sample,0.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08889999997615838
amt_gaming_vqa_dataset/JakandDaxter_720p_500k_av1,sample,97.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07939999997615743
amt_gaming_vqa_dataset/JakandDaxter_1080p_10000k_h264nvenc,sample,17.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13590000003576286
amt_gaming_vqa_dataset/JakandDaxter_1080p_2300k_h264nvenc,sample,89.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10819999998807894
amt_gaming_vqa_dataset/JakandDaxter_1080p_5300k_h264nvenc,sample,29.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.20719999998807914
amt_gaming_vqa_dataset/JakandDaxter_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_h264nvenc,sample,72.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",7.003900000035763
amt_gaming_vqa_dataset/JakandDaxter_2160p_8500k_h264nvenc,sample,88.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",7.04939999997616
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_h264nvenc,sample,84.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10389999997615895
amt_gaming_vqa_dataset/JakandDaxter_720p_1000k_h264nvenc,sample,73.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1013000000119213
amt_gaming_vqa_dataset/JakandDaxter_720p_2500k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_720p_5000k_h264nvenc,sample,54.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09710000002384156
amt_gaming_vqa_dataset/JakandDaxter_1080p_2000k_hevcnvenc,sample,3.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09450000000000003
amt_gaming_vqa_dataset/JakandDaxter_1080p_6000k_hevcnvenc,sample,4.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10500000000000043
amt_gaming_vqa_dataset/JakandDaxter_1080p_800k_hevcnvenc,sample,29.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08459999996423662
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_2160p_1500k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_2160p_6000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/JakandDaxter_480p_800k_hevcnvenc,sample,31.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08559999996423784
amt_gaming_vqa_dataset/JakandDaxter_720p_1500k_hevcnvenc,sample,39.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09160000002384194
amt_gaming_vqa_dataset/JakandDaxter_720p_3500k_hevcnvenc,sample,70.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09580000001192168
amt_gaming_vqa_dataset/JakandDaxter_720p_600k_hevcnvenc,sample,3.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08929999995231697
amt_gaming_vqa_dataset/Deathstrandingdirectorscut,sample,35.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",12.147900000035763
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_1500k_av1,sample,69.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08589000003576253
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_5000k_av1,sample,71.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09299000000000035
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_500k_av1,sample,67.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07959000002384187
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_10000k_av1,sample,15.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.6895900000238431
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_1000k_av1,sample,50.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1667900000119218
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_5000k_av1,sample,5.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14388999997615848
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_480p_1000k_av1,sample,30.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07129000001192232
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_1300k_av1,sample,34.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07779000001192138
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_3000k_av1,sample,40.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08468999998807902
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_500k_av1,sample,13.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06709000002384258
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_10000k_h264nvenc,sample,8.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09718999998808009
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_2300k_h264nvenc,sample,66.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1441899999880789
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_5300k_h264nvenc,sample,2.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09689000003576353
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_25000k_h264nvenc,sample,93.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",7.441790000011922
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_5000k_h264nvenc,sample,16.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",6.547089999964237
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_8500k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_480p_1000k_h264nvenc,sample,82.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10489000003576265
