video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/y_QgRoVX1cYvk_Myst_11-55_480p_1000k_h264_nvenc,sample,65.0,34.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00431599999999932
amt_gaming_vqa_dataset/y_QgRoVX1cYvk_Myst_11-55_480p_1000k_h264_nvenc,sample,3.0,30.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.017716000095367335
amt_gaming_vqa_dataset/d_cWoK8x_hs_DiabloIII_3-21_1080p_10000k_h264_nvenc,sample,73.0,10.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.02549999999999919
amt_gaming_vqa_dataset/d_cWoK8x_hs_DiabloIII_3-21_1080p_10000k_h264_nvenc,sample,66.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0022999999523154457
amt_gaming_vqa_dataset/ZnuX_kQ3PzI_Palworld_0-00,sample,99.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.012900000095367403
amt_gaming_vqa_dataset/ZnuX_kQ3PzI_Palworld_0-00,sample,88.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.02279999995231563
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_1300k_av1,sample,45.0,25.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.028899999856948355
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_1300k_av1,sample,7.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.019299999952316682
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_3000k_av1,sample,57.0,29.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.02200000000000024
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_3000k_av1,sample,62.0,31.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.029599999904633023
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_1300k_av1,sample,13.0,18.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.02790000009536797
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_1300k_av1,sample,80.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.024600000143051304
