video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/aYWM3nhWeSE_SubwaySurfers_0-30,sample,94.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.024199999999254374
amt_gaming_vqa_dataset/aYWM3nhWeSE_SubwaySurfers_0-30,sample,52.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.014400000002234847
amt_gaming_vqa_dataset/Gp59gQ78XZ4_Terraria_13-55_1080p_2300k_h264_nvenc,sample,46.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.010300000000745158
amt_gaming_vqa_dataset/Gp59gQ78XZ4_Terraria_13-55_1080p_2300k_h264_nvenc,sample,5.0,67.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.01689999999850933
amt_gaming_vqa_dataset/Gp59gQ78XZ4_Terraria_13-55_1080p_6000k_hevc_nvenc,sample,68.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.015299999997019142
amt_gaming_vqa_dataset/Gp59gQ78XZ4_Terraria_13-55_1080p_6000k_hevc_nvenc,sample,69.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0015000000000000568
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_53-37_360p_800k_av1,sample,21.0,23.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.00859999999776484
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_53-37_360p_800k_av1,sample,42.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.005000000000000782
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_53-37_360p_800k_h264_nvenc,sample,62.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.007699999999255525
amt_gaming_vqa_dataset/y_ITSBju9m_h8_RollerCoasterTycoon3_53-37_360p_800k_h264_nvenc,sample,29.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.020800000000745555
amt_gaming_vqa_dataset/AKcTm4L_Des_CallofDutyMobile_1-38_1080p_6000k_hevc_nvenc,sample,54.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0035000000000007248
amt_gaming_vqa_dataset/AKcTm4L_Des_CallofDutyMobile_1-38_1080p_6000k_hevc_nvenc,sample,2.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004699999999255411
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,57.0,90.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.3585999999977645
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,85.0,90.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10469999999925506
