video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1,sample,87.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-4.248200000047683
amt_gaming_vqa_dataset/Daysgone_1_1080p_1500k_av1,sample,50.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.347710000047683
amt_gaming_vqa_dataset/Daysgone_1_1080p_5000k_av1,sample,9.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.553610000143051
amt_gaming_vqa_dataset/Daysgone_1_1080p_500k_av1,sample,50.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.90461000014305
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_av1,sample,66.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-3.8837099998092643
amt_gaming_vqa_dataset/Daysgone_1_2160p_1000k_av1,sample,94.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.696009999999999
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_av1,sample,37.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.52251
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_av1,sample,41.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.430109999904632
amt_gaming_vqa_dataset/Daysgone_1_720p_1300k_av1,sample,66.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-9.083609999904631
amt_gaming_vqa_dataset/Daysgone_1_720p_3000k_av1,sample,21.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.959809999952316
amt_gaming_vqa_dataset/Daysgone_1_720p_500k_av1,sample,3.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.771210000047683
amt_gaming_vqa_dataset/Daysgone_1_1080p_10000k_h264nvenc,sample,85.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.976609999904632
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,83.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.044810000190735
amt_gaming_vqa_dataset/Daysgone_1_1080p_5300k_h264nvenc,sample,28.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.540910000095367
amt_gaming_vqa_dataset/Daysgone_1_2160p_25000k_h264nvenc,sample,2.0,34.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-1.9456100001430503
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_h264nvenc,sample,74.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.110809999952316
amt_gaming_vqa_dataset/Daysgone_1_2160p_8500k_h264nvenc,sample,48.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.394309999952315
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_h264nvenc,sample,31.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.724210000047684
amt_gaming_vqa_dataset/Daysgone_1_720p_1000k_h264nvenc,sample,94.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.988709999809265
amt_gaming_vqa_dataset/Daysgone_1_720p_2500k_h264nvenc,sample,50.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.016309999952316
amt_gaming_vqa_dataset/Daysgone_1_720p_5000k_h264nvenc,sample,37.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-9.02201
amt_gaming_vqa_dataset/Daysgone_1_1080p_2000k_hevcnvenc,sample,75.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-8.76651
amt_gaming_vqa_dataset/Daysgone_1_1080p_6000k_hevcnvenc,sample,97.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-5.699810000190734
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,40.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.953210000047683
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_hevcnvenc,sample,78.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.696110000143051
amt_gaming_vqa_dataset/Daysgone_1_2160p_1500k_hevcnvenc,sample,95.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.625210000047684
