video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_500k_av1,sample,3.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.02160000002384166
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_500k_av1,sample,71.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.028999999999999915
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_600k_hevc_nvenc,sample,50.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.007999999999999119
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_600k_hevc_nvenc,sample,1.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03259999990463314
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_800k_hevc_nvenc,sample,52.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0423999999761584
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_800k_hevc_nvenc,sample,30.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.02800000000000047
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5300k_h264_nvenc,sample,68.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05939999997615786
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5300k_h264_nvenc,sample,36.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04810000002384207
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_800k_hevc_nvenc,sample,12.0,77.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.015399999976157375
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_800k_hevc_nvenc,sample,96.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.025599999904631687
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_h264_nvenc,sample,72.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.02915699997615917
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_h264_nvenc,sample,79.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08845700004768453
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,9.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05979999995231644
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,78.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12980000007152626
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,46.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05989999997615847
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,38.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.059600000023841915
