video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Destiny2_2,sample,22.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.055100000001489846
amt_gaming_vqa_dataset/Destiny2_2_1080p_1500k_av1,sample,39.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10238999999851117
amt_gaming_vqa_dataset/Destiny2_2_1080p_5000k_av1,sample,68.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10688999999851134
amt_gaming_vqa_dataset/Destiny2_2_1080p_500k_av1,sample,72.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08849000000000018
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_av1,sample,73.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.5609900000000003
amt_gaming_vqa_dataset/Destiny2_2_2160p_1000k_av1,sample,34.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.8854900000000008
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_av1,sample,50.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.73959000000149
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_av1,sample,35.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07168999999925596
amt_gaming_vqa_dataset/Destiny2_2_720p_1300k_av1,sample,45.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08199000000000112
amt_gaming_vqa_dataset/Destiny2_2_720p_3000k_av1,sample,48.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08959000000149153
amt_gaming_vqa_dataset/Destiny2_2_720p_500k_av1,sample,70.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07488999999851131
amt_gaming_vqa_dataset/Destiny2_2_1080p_10000k_h264nvenc,sample,80.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07909000000149113
amt_gaming_vqa_dataset/Destiny2_2_1080p_2300k_h264nvenc,sample,28.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07008999999776577
amt_gaming_vqa_dataset/Destiny2_2_1080p_5300k_h264nvenc,sample,74.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08569000000298033
amt_gaming_vqa_dataset/Destiny2_2_2160p_25000k_h264nvenc,sample,52.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15599000000000096
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_h264nvenc,sample,20.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12379000000074569
amt_gaming_vqa_dataset/Destiny2_2_2160p_8500k_h264nvenc,sample,32.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12909000000149007
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_h264nvenc,sample,89.0,38.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Destiny2_2_720p_1000k_h264nvenc,sample,9.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06629000000074647
amt_gaming_vqa_dataset/Destiny2_2_720p_2500k_h264nvenc,sample,22.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06918999999925468
amt_gaming_vqa_dataset/Destiny2_2_720p_5000k_h264nvenc,sample,74.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/Destiny2_2_1080p_2000k_hevcnvenc,sample,57.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0725900000014903
amt_gaming_vqa_dataset/Destiny2_2_1080p_6000k_hevcnvenc,sample,41.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07328999999702113
amt_gaming_vqa_dataset/Destiny2_2_1080p_800k_hevcnvenc,sample,96.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10168999999925532
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_hevcnvenc,sample,35.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07408999999776533
amt_gaming_vqa_dataset/Destiny2_2_2160p_1500k_hevcnvenc,sample,90.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0725900000014903
amt_gaming_vqa_dataset/Destiny2_2_2160p_6000k_hevcnvenc,sample,92.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07088999999850998
amt_gaming_vqa_dataset/Destiny2_2_480p_800k_hevcnvenc,sample,86.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051389999998511016
amt_gaming_vqa_dataset/Destiny2_2_720p_1500k_hevcnvenc,sample,38.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07029000000074603
amt_gaming_vqa_dataset/Destiny2_2_720p_3500k_hevcnvenc,sample,55.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07079000000074487
amt_gaming_vqa_dataset/Destiny2_2_720p_600k_hevcnvenc,sample,95.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/eFootball_1,sample,27.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04730000000074419
amt_gaming_vqa_dataset/eFootball_1_1080p_1500k_av1,sample,17.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09118999999925492
amt_gaming_vqa_dataset/eFootball_1_1080p_5000k_av1,sample,57.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11779000000074547
amt_gaming_vqa_dataset/eFootball_1_1080p_500k_av1,sample,36.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11249000000000109
amt_gaming_vqa_dataset/eFootball_1_2160p_10000k_av1,sample,7.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.3924900000000004
amt_gaming_vqa_dataset/eFootball_1_2160p_1000k_av1,sample,30.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.6373899999985113
amt_gaming_vqa_dataset/eFootball_1_2160p_5000k_av1,sample,52.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.005589999997765
amt_gaming_vqa_dataset/eFootball_1_480p_1000k_av1,sample,35.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/eFootball_1_720p_1300k_av1,sample,57.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0814900000000005
amt_gaming_vqa_dataset/eFootball_1_720p_3000k_av1,sample,16.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08248999999999995
amt_gaming_vqa_dataset/eFootball_1_720p_500k_av1,sample,37.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07888999999851087
amt_gaming_vqa_dataset/eFootball_1_1080p_10000k_h264nvenc,sample,45.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08038999999851093
amt_gaming_vqa_dataset/eFootball_1_1080p_2300k_h264nvenc,sample,93.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07159000000149085
amt_gaming_vqa_dataset/eFootball_1_1080p_5300k_h264nvenc,sample,99.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06789000000223488
amt_gaming_vqa_dataset/eFootball_1_2160p_25000k_h264nvenc,sample,14.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05399000000000065
amt_gaming_vqa_dataset/eFootball_1_2160p_5000k_h264nvenc,sample,0.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12868999999925634
amt_gaming_vqa_dataset/eFootball_1_2160p_8500k_h264nvenc,sample,99.0,62.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15849000000000046
amt_gaming_vqa_dataset/eFootball_1_480p_1000k_h264nvenc,sample,2.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07839000000223528
amt_gaming_vqa_dataset/eFootball_1_720p_1000k_h264nvenc,sample,2.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06868999999925585
amt_gaming_vqa_dataset/eFootball_1_720p_2500k_h264nvenc,sample,62.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/eFootball_1_720p_5000k_h264nvenc,sample,2.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07028999999702101
amt_gaming_vqa_dataset/eFootball_1_1080p_2000k_hevcnvenc,sample,86.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/eFootball_1_1080p_6000k_hevcnvenc,sample,35.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06859000000149074
amt_gaming_vqa_dataset/eFootball_1_1080p_800k_hevcnvenc,sample,43.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07349000000000139
amt_gaming_vqa_dataset/eFootball_1_2160p_10000k_hevcnvenc,sample,4.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06988999999851053
amt_gaming_vqa_dataset/eFootball_1_2160p_1500k_hevcnvenc,sample,9.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07079000000074487
amt_gaming_vqa_dataset/eFootball_1_2160p_6000k_hevcnvenc,sample,9.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0722899999970199
amt_gaming_vqa_dataset/eFootball_1_480p_800k_hevcnvenc,sample,43.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-2.2500099999999996
amt_gaming_vqa_dataset/eFootball_1_720p_1500k_hevcnvenc,sample,24.0,65.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07289000000223567
amt_gaming_vqa_dataset/eFootball_1_720p_3500k_hevcnvenc,sample,17.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0721899999992548
amt_gaming_vqa_dataset/eFootball_1_720p_600k_hevcnvenc,sample,75.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/CatQuest,sample,48.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06530000000074487
amt_gaming_vqa_dataset/CatQuest_1080p_1500k_av1,sample,71.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0898899999985101
amt_gaming_vqa_dataset/CatQuest_1080p_5000k_av1,sample,70.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08959000000149153
amt_gaming_vqa_dataset/CatQuest_1080p_500k_av1,sample,0.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11538999999851107
amt_gaming_vqa_dataset/CatQuest_2160p_10000k_av1,sample,61.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.0189900000000005
