AssignmentId,HITId,WorkerId,Sample_Row_Name,Sample_Row_Index,Approve,Reject
3AQF3RZ56Z9JV0VG61NNXE9OYUG6F7,3ZUE82NE10S4CUGA9EFKT89K4YYF8I,A2BAQ26SMQQEUG,row_0,0,,"Too many unset video ratings (32 > 24) | all slider ratings are very similar, the slider moved to same range of scores. | The scores for golden videos are not consistent with the true scores."
3GGAI1SQFMPEHRWY2F43E4L7RF2MCH,3ZUE82NE10S4CUGA9EFKT89K4YYF8I,A1Q7VWUBIJOK17,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=53"
3Z2R0DQ0K8537LCJOOREPJ7C6LP2EO,3ZUE82NE10S4CUGA9EFKT89K4YYF8I,A54KH61CDVIB6,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=69"
37Z929RLH0ZY13BE8YVFFNKH7UJSTP,38G0E1M86CWR6O9DCWLT7MUVPJDUV0,A2BAQ26SMQQEUG,row_0,0,,"Too many unset video ratings (32 > 24) | all slider ratings are very similar, the slider moved to same range of scores."
386PBUZZY6OHJNKJCVKA1VJDH5YJLP,38G0E1M86CWR6O9DCWLT7MUVPJDUV0,AM0JKZVOEOTMA,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=56"
3QJOXOW4YAITEPGCY6AY4SLACQ9ME2,3MJ9GGZYPTXYUOXDIHKR5GLQLITA2X,A2BAQ26SMQQEUG,row_0,0,,Too many unset video ratings (31 > 24)
35LDD55581VW0P8MUSL12NYFWN7MKO,3FCO4VKO0U4862BV4Y38XQSPHDD7E5,A54KH61CDVIB6,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=60"
3C8HJ7UOQYLRPK78UTOBP2MS0DJMZ7,3FCO4VKO0U4862BV4Y38XQSPHDD7E5,A29ZTHY1OB4IC8,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=53"
3TVRFO09HB6IE7P8TZZBS4RSSRZXLP,3FCO4VKO0U4862BV4Y38XQSPHDD7E5,A18LFH7XW61JO9,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=56"
36TFCYNS5V1GSB6I2EKD0CYLB6EXHY,3LG268AV4YXIOLVADC1E27JPIV1ERH,A1689LPUF6HS1A,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=55"
