video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_480p_1000k_av1,sample,30.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07129000001192232
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_480p_1000k_av1,sample,23.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07209000002384158
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_1000k_h264nvenc,sample,1.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10908999996423852
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_1000k_h264nvenc,sample,17.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08279000001192216
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_2500k_h264nvenc,sample,85.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0837900000119216
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_2500k_h264nvenc,sample,93.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10188999997615866
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_800k_hevcnvenc,sample,35.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0766899999880799
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_1080p_800k_hevcnvenc,sample,15.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07019000004768472
amt_gaming_vqa_dataset/Assettocorsecompetizione_1_1080p_500k_av1,sample,32.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08989000003576386
amt_gaming_vqa_dataset/Assettocorsecompetizione_1_1080p_500k_av1,sample,44.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0891899999880792
amt_gaming_vqa_dataset/Assettocorsecompetizione_1_720p_1300k_av1,sample,43.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07529000001192188
amt_gaming_vqa_dataset/Assettocorsecompetizione_1_720p_1300k_av1,sample,90.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08158999996423866
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,17.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06070000004768339
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,20.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09959999996423718
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,55.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09360000002384261
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,47.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10510000002384245
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,51.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.093100000023842
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,12.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10039999997615823
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,91.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09430000001192163
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,82.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10650000000000048
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,80.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10599999999999987
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,38.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10010000002384167
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,66.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09370000004768286
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,34.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007199999988079853
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,83.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.6471999999880786
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,60.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1063000000119203
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,37.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.19860000002384126
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,23.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09469999998807843
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,18.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11919999998807995
