video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_800k_hevc_nvenc,sample,9.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0088000000007451
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_800k_hevc_nvenc,sample,88.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.017599999999626803
amt_gaming_vqa_dataset/y_EQ25DFLTq3M_Cyberpunk2077_13-23_480p_1000k_av1,sample,70.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007700000000186336
amt_gaming_vqa_dataset/y_EQ25DFLTq3M_Cyberpunk2077_13-23_480p_1000k_av1,sample,62.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.006199999999255468
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_5000k_av1,sample,8.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09399999999999942
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_5000k_av1,sample,81.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5154999999999994
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_5300k_h264_nvenc,sample,87.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.013099999999626633
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_5300k_h264_nvenc,sample,3.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1510999999996283
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_6000k_hevc_nvenc,sample,55.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.00020000000018605135
amt_gaming_vqa_dataset/2xcHsYJSAbw_SubwaySurfers_0-03_1080p_6000k_hevc_nvenc,sample,90.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0024999999999995026
amt_gaming_vqa_dataset/AHfpD-ivnOU_GarrysMod_8-32_1080p_5300k_h264_nvenc,sample,76.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.006900000000372941
amt_gaming_vqa_dataset/AHfpD-ivnOU_GarrysMod_8-32_1080p_5300k_h264_nvenc,sample,73.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.023399999998510168
