video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace,sample,12.0,61.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",2.0097999999523157
amt_gaming_vqa_dataset/Deadspace_1080p_1500k_av1,sample,32.0,57.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.06759000014305094
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,17.0,53.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07699000000000034
amt_gaming_vqa_dataset/Deadspace_1080p_500k_av1,sample,35.0,61.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0840899999046325
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_av1,sample,17.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.11169000004768392
amt_gaming_vqa_dataset/Deadspace_2160p_1000k_av1,sample,40.0,53.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.09628999995231702
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_av1,sample,43.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10828999995231747
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,13.0,60.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.05578999995231726
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,65.0,54.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",0.0646900000476851
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,12.0,60.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07549000000000028
amt_gaming_vqa_dataset/Deadspace_720p_500k_av1,sample,44.0,57.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.10219000004768475
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,10.0,64.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.11378999995231709
amt_gaming_vqa_dataset/Deadspace_1080p_2300k_h264nvenc,sample,19.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0684900000000006
amt_gaming_vqa_dataset/Deadspace_1080p_5300k_h264nvenc,sample,32.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0697899999523166
amt_gaming_vqa_dataset/Deadspace_2160p_25000k_h264nvenc,sample,16.0,51.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.15938999985695013
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_h264nvenc,sample,55.0,67.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.15749000000000102
amt_gaming_vqa_dataset/Deadspace_2160p_8500k_h264nvenc,sample,35.0,53.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.16579000019073575
