video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/eFootball_2,sample,42.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",71.89200000000001
amt_gaming_vqa_dataset/eFootball_2_1080p_1500k_av1,sample,80.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",2.1793899998569497
amt_gaming_vqa_dataset/eFootball_2_1080p_5000k_av1,sample,60.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",4.094290000190735
amt_gaming_vqa_dataset/eFootball_2_1080p_500k_av1,sample,52.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.270790000190736
amt_gaming_vqa_dataset/eFootball_2_2160p_10000k_av1,sample,52.0,73.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",14.95538999985695
amt_gaming_vqa_dataset/eFootball_2_2160p_1000k_av1,sample,11.0,62.0,"['Minimally Clear', 'No visible artifacts', 'High level of immersion', '']",5.354990000000001
amt_gaming_vqa_dataset/eFootball_2_2160p_5000k_av1,sample,32.0,54.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",17.438990000000004
amt_gaming_vqa_dataset/eFootball_2_480p_1000k_av1,sample,88.0,82.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.09299000000000035
amt_gaming_vqa_dataset/eFootball_2_720p_1300k_av1,sample,96.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7682899999523176
amt_gaming_vqa_dataset/eFootball_2_720p_3000k_av1,sample,36.0,68.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.30800999999999945
amt_gaming_vqa_dataset/eFootball_2_720p_500k_av1,sample,40.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.6551900000476838
amt_gaming_vqa_dataset/eFootball_2_1080p_10000k_h264nvenc,sample,67.0,83.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",2.0275899999046327
amt_gaming_vqa_dataset/eFootball_2_1080p_2300k_h264nvenc,sample,27.0,62.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.40978999995231646
amt_gaming_vqa_dataset/eFootball_2_1080p_5300k_h264nvenc,sample,24.0,67.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.5115899999046327
amt_gaming_vqa_dataset/eFootball_2_2160p_25000k_h264nvenc,sample,35.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.777789999952317
amt_gaming_vqa_dataset/eFootball_2_2160p_5000k_h264nvenc,sample,95.0,76.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",3.0137899999523174
amt_gaming_vqa_dataset/eFootball_2_2160p_8500k_h264nvenc,sample,52.0,64.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",3.9501899998092664
amt_gaming_vqa_dataset/eFootball_2_480p_1000k_h264nvenc,sample,55.0,73.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.06069000004768377
amt_gaming_vqa_dataset/eFootball_2_720p_1000k_h264nvenc,sample,32.0,61.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.2738900000953688
amt_gaming_vqa_dataset/eFootball_2_720p_2500k_h264nvenc,sample,75.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.8358900000953682
amt_gaming_vqa_dataset/eFootball_2_720p_5000k_h264nvenc,sample,94.0,84.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.8174900000000012
amt_gaming_vqa_dataset/eFootball_2_1080p_2000k_hevcnvenc,sample,82.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.05028999995231764
amt_gaming_vqa_dataset/eFootball_2_1080p_6000k_hevcnvenc,sample,28.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0697899999523166
amt_gaming_vqa_dataset/eFootball_2_1080p_800k_hevcnvenc,sample,75.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08978999995231618
amt_gaming_vqa_dataset/eFootball_2_2160p_10000k_hevcnvenc,sample,47.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.057289999952317316
amt_gaming_vqa_dataset/eFootball_2_2160p_1500k_hevcnvenc,sample,5.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05908999990463393
amt_gaming_vqa_dataset/eFootball_2_2160p_6000k_hevcnvenc,sample,74.0,65.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.05878999995231737
