video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/CatQuestII,sample,24.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07530000000074466
amt_gaming_vqa_dataset/CatQuestII_1080p_1500k_av1,sample,40.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.048590000000558575
amt_gaming_vqa_dataset/CatQuestII_1080p_5000k_av1,sample,75.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05008999999962782
amt_gaming_vqa_dataset/CatQuestII_1080p_500k_av1,sample,9.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04898999999999987
amt_gaming_vqa_dataset/CatQuestII_2160p_10000k_av1,sample,69.0,79.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051290000000745906
amt_gaming_vqa_dataset/CatQuestII_2160p_1000k_av1,sample,66.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049089999999628375
amt_gaming_vqa_dataset/CatQuestII_2160p_5000k_av1,sample,85.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14508999999962846
amt_gaming_vqa_dataset/CatQuestII_480p_1000k_av1,sample,86.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051289999999815095
amt_gaming_vqa_dataset/CatQuestII_720p_1300k_av1,sample,40.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04799000000000042
amt_gaming_vqa_dataset/CatQuestII_720p_3000k_av1,sample,76.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/CatQuestII_720p_500k_av1,sample,22.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0717899999998135
amt_gaming_vqa_dataset/CatQuestII_1080p_10000k_h264nvenc,sample,43.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04898999999999987
amt_gaming_vqa_dataset/CatQuestII_1080p_2300k_h264nvenc,sample,79.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.046590000000559684
amt_gaming_vqa_dataset/CatQuestII_1080p_5300k_h264nvenc,sample,16.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0495900000005598
amt_gaming_vqa_dataset/CatQuestII_2160p_25000k_h264nvenc,sample,34.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0487900000007464
amt_gaming_vqa_dataset/CatQuestII_2160p_5000k_h264nvenc,sample,70.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11699000000000126
amt_gaming_vqa_dataset/CatQuestII_2160p_8500k_h264nvenc,sample,36.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0483899999985109
amt_gaming_vqa_dataset/CatQuestII_480p_1000k_h264nvenc,sample,86.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04978999999981504
amt_gaming_vqa_dataset/CatQuestII_720p_1000k_h264nvenc,sample,8.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05019000000111795
amt_gaming_vqa_dataset/CatQuestII_720p_2500k_h264nvenc,sample,65.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07839000000037366
amt_gaming_vqa_dataset/CatQuestII_720p_5000k_h264nvenc,sample,44.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/CatQuestII_1080p_2000k_hevcnvenc,sample,49.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04929000000074524
amt_gaming_vqa_dataset/CatQuestII_1080p_6000k_hevcnvenc,sample,91.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050790000000745295
amt_gaming_vqa_dataset/CatQuestII_1080p_800k_hevcnvenc,sample,39.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0642900000007458
amt_gaming_vqa_dataset/CatQuestII_2160p_10000k_hevcnvenc,sample,91.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04929000000074524
amt_gaming_vqa_dataset/CatQuestII_2160p_1500k_hevcnvenc,sample,77.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04989000000037258
amt_gaming_vqa_dataset/CatQuestII_2160p_6000k_hevcnvenc,sample,6.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.046889999998510845
amt_gaming_vqa_dataset/CatQuestII_480p_800k_hevcnvenc,sample,25.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04909000000149
amt_gaming_vqa_dataset/CatQuestII_720p_1500k_hevcnvenc,sample,73.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07139000000037399
amt_gaming_vqa_dataset/CatQuestII_720p_3500k_hevcnvenc,sample,25.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.048890000000373135
amt_gaming_vqa_dataset/CatQuestII_720p_600k_hevcnvenc,sample,46.0,43.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.048890000000373135
amt_gaming_vqa_dataset/Sessionskatesim_1,sample,9.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03920000000018575
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_1500k_av1,sample,9.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09719999999925477
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_5000k_av1,sample,46.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05990000000037199
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_500k_av1,sample,30.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05990000000037199
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_10000k_av1,sample,58.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.19229999999981295
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_1000k_av1,sample,10.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06059999999962784
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_5000k_av1,sample,89.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.059099999999627784
amt_gaming_vqa_dataset/Sessionskatesim_1_480p_1000k_av1,sample,20.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0625
amt_gaming_vqa_dataset/Sessionskatesim_1_720p_1300k_av1,sample,44.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.059499999999999886
amt_gaming_vqa_dataset/Sessionskatesim_1_720p_3000k_av1,sample,14.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05850000000000044
amt_gaming_vqa_dataset/Sessionskatesim_1_720p_500k_av1,sample,93.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05989999999851037
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_10000k_h264nvenc,sample,56.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06069999999925457
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_2300k_h264nvenc,sample,4.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.059200000001117914
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_5300k_h264nvenc,sample,67.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08699999999999974
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_25000k_h264nvenc,sample,47.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.059299999998883024
