video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Sessionskatesim_2,sample,16.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04440000009536682
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_1500k_av1,sample,12.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08628999971389817
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5000k_av1,sample,67.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09818999980926613
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_500k_av1,sample,6.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.081589999904633
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_av1,sample,48.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.7479899999999997
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1000k_av1,sample,8.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.4048899996185309
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_av1,sample,69.0,30.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.44778999971389766
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_av1,sample,69.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1300k_av1,sample,79.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07789000009536728
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3000k_av1,sample,23.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0808900000953674
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_500k_av1,sample,83.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07058999990463377
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_10000k_h264nvenc,sample,98.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06738999961853054
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2300k_h264nvenc,sample,56.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06629000019073494
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5300k_h264nvenc,sample,12.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08068999980926606
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_25000k_h264nvenc,sample,84.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12898999999999994
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_h264nvenc,sample,78.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1317899997138987
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_8500k_h264nvenc,sample,67.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.16089000009536747
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_h264nvenc,sample,66.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07199000000000133
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1000k_h264nvenc,sample,1.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06249000000000038
