AssignmentId,HITId,WorkerId,Sample_Row_Name,Sample_Row_Index,Approve,Reject
39L1G8WVXHIT82EQG0A419TAP3331R,3N2YPY1GJWPAHSCRMW6O348S39YEVA,A332U5R6NCL0X4,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
3BF51CHDUM18VL07Z2V6RYBA3GSH0M,3N2YPY1GJWPAHSCRMW6O348S39YEVA,AMH0GT8UM7S1C,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion"
3LRKMWOKCW81IG3FKB5RAT8UW4G2Z4,3N2YPY1GJWPAHSCRMW6O348S39YEVA,A3EQPQ7EZFKB0R,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
3R3YRB5GS6U91K49R3ZYZJCD6ATAUU,3N2YPY1GJWPAHSCRMW6O348S39YEVA,A2H1UFKV8FSTV2,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion"
3WSELTNVSUTU17PKRY9OUNQBNWMAT3,3N2YPY1GJWPAHSCRMW6O348S39YEVA,A1JFGI5XJYYR3A,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | The scores for golden videos are not consistent with the true scores."
37M28K1J1H40N4TFF4VKSH32P29AJS,3X878VYTJ490CGBRZ9NEF8DPTS67FT,A2I61I62R2XCST,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
37UQDCYH7OMRVXVBPQXJLEC6J9W7VP,3X878VYTJ490CGBRZ9NEF8DPTS67FT,A3EQPQ7EZFKB0R,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
3V5Q80FXJOI0XNWMZ4AI6S3FH9H328,3OND0WXMIM65ZRH7H7PKO3HJVUNHEN,A1JFGI5XJYYR3A,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
32VNZTT0BYV2J3WBE8U2H53T79HR40,3TRB893CT916QG7MATTWXTD1U767GS,A2I61I62R2XCST,row_0,0,,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser."
3PWWM24LIJPMYK2SBL5EX9BQXW328V,3TRB893CT916QG7MATTWXTD1U767GS,A20G8SL4ZZ38FL,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion"
3X66WABAKN9QCH4TYJV78WXGRSV3G0,3TRB893CT916QG7MATTWXTD1U767GS,AQPFTUIJ0PW2N,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion"
