video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,56.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.35349000000000075
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,54.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.17359000000149116
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3500k_hevcnvenc,sample,4.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05349000000000004
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3500k_hevcnvenc,sample,81.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.05719000000298102
amt_gaming_vqa_dataset/Daysgone_2,sample,81.0,87.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",19.6365
amt_gaming_vqa_dataset/Daysgone_2,sample,94.0,76.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",19.554599999997766
amt_gaming_vqa_dataset/Daysgone_2_720p_3500k_hevcnvenc,sample,35.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06580000000074548
amt_gaming_vqa_dataset/Daysgone_2_720p_3500k_hevcnvenc,sample,47.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-1.6390999999977645
amt_gaming_vqa_dataset/Hogwartslegacy_2_2160p_5000k_av1,sample,43.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.13549000000000078
amt_gaming_vqa_dataset/Hogwartslegacy_2_2160p_5000k_av1,sample,42.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.13539000000223567
amt_gaming_vqa_dataset/Hogwartslegacy_2_1080p_6000k_hevcnvenc,sample,48.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051189999999255775
amt_gaming_vqa_dataset/Hogwartslegacy_2_1080p_6000k_hevcnvenc,sample,87.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051490000000001146
