video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,66.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08659999996423728
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,60.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07759000002384298
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,79.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07968999998808002
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,6.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0741899999880804
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,33.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13769000004768372
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,28.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11128999995231759
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,39.0,74.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.13058999996423815
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,95.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06218999998807995
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,8.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06899000000000122
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,73.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07129000001192232
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,79.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06498999999999988
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,79.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.04889000003576349
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2300k_h264nvenc,sample,45.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06779000001192159
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5300k_h264nvenc,sample,29.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05788999997615818
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,sample,87.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0753900000357639
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_h264nvenc,sample,0.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08088999997615787
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_8500k_h264nvenc,sample,55.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1288899999761579
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_h264nvenc,sample,75.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0682900000119222
