video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Undefeated,sample,83.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",31.96140000000596
amt_gaming_vqa_dataset/Undefeated_1080p_1500k_av1,sample,90.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09868999998808015
amt_gaming_vqa_dataset/Undefeated_1080p_5000k_av1,sample,71.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10848999999999975
amt_gaming_vqa_dataset/Undefeated_1080p_500k_av1,sample,65.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08349000000000117
amt_gaming_vqa_dataset/Undefeated_2160p_10000k_av1,sample,70.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.296889999976159
amt_gaming_vqa_dataset/Undefeated_2160p_1000k_av1,sample,98.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.17039000000596083
amt_gaming_vqa_dataset/Undefeated_2160p_5000k_av1,sample,67.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.20489000000596036
amt_gaming_vqa_dataset/Undefeated_480p_1000k_av1,sample,32.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07508999999403976
amt_gaming_vqa_dataset/Undefeated_720p_1300k_av1,sample,63.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08579000001192227
amt_gaming_vqa_dataset/Undefeated_720p_3000k_av1,sample,86.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11058999999404051
amt_gaming_vqa_dataset/Undefeated_720p_500k_av1,sample,28.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07658999999403981
amt_gaming_vqa_dataset/Undefeated_1080p_10000k_h264nvenc,sample,11.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09879000001192217
amt_gaming_vqa_dataset/Undefeated_1080p_2300k_h264nvenc,sample,21.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08208999999403943
amt_gaming_vqa_dataset/Undefeated_1080p_5300k_h264nvenc,sample,22.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09329000001192078
amt_gaming_vqa_dataset/Undefeated_2160p_25000k_h264nvenc,sample,8.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.28598999999999997
